State_Number,State_Name,Population_2011,Growth_Percentage,Estimated_Population_2021,Per_Capita_NSDP
35,ANDAMAN & NICOBAR ISLANDS,"380,581",6.9,406841,229080
28,ANDHRA PRADESH,"84,580,777",11,93884662,192587
12,ARUNACHAL PRADESH,"1,383,727",26,1743496,205645
18,ASSAM,"31,205,576",17.1,36541729,102965
10,BIHAR,"104,099,452",25.4,130540713,47498
04,CHANDIGARH,"1,055,450",17.2,1236987,333932
22,CHHATTISGARH,"25,545,198",22.6,31318413,120704
26,DADRA & NAGAR HAVELI,"343,709",55.1,533093,N/A
25,DAMAN & DIU,"243,247",55.1,377276,N/A
30,GOA,"1,458,545",8.2,1578146,472070
24,GUJARAT,"60,439,692",19.3,72104553,241930
06,HARYANA,"25,351,462",19.9,30396403,264835
02,HIMACHAL PRADESH,"6,864,602",12.9,7750136,201271
01,JAMMU & KASHMIR,"12,541,302",23.6,15501049,120790
20,JHARKHAND,"32,988,134",22.4,40377476,84059
29,KARNATAKA,"61,095,297",15.6,70626163,265623
32,KERALA,"33,406,061",4.9,35042958,233855
31,LAKSHADWEEP,"64,473",6.3,68535,N/A
23,MADHYA PRADESH,"72,626,809",20.3,87370051,121594
27,MAHARASHTRA,"112,374,333",16,130354226,215233
14,MANIPUR,"2,855,794",24.5,3555464,91560
17,MEGHALAYA,"2,966,889",27.9,3794651,103335
15,MIZORAM,"1,097,206",23.5,1355049,198962
13,NAGALAND,"1,978,502",-0.6,1966631,125887
07,NCT of DELHI,"16,787,941",21.2,20346984,389529
21,ODISHA,"41,974,218",14,47850609,128181
34,PUDUCHERRY,"1,247,953",28.1,1598628,251344
03,PUNJAB,"27,743,338",13.89,31596888,168705
08,RAJASTHAN,"68,548,437",21.3,83149254,135962
11,SIKKIM,"610,577",12.9,689341,463509
33,TAMIL NADU,"72,147,030",15.6,83401967,242253
16,TRIPURA,"3,673,917",14.8,4217657,137472
09,UTTAR PRADESH,"199,812,341",20.2,240174434,73048
05,UTTARAKHAND,"10,086,292",18.8,11982515,211657
19,WEST BENGAL,"91,276,115",13.8,103872219,124798
38,Ladakh,"274,289",17.8,323112,N/A
36,Telangana,"35,003,674",13.58,39757173,270839
