id,org_id,org_name,campus_id,name,aka,name_long,website,social_media,clli,rencode,npanxx,notes,net_count,ix_count,sales_email,sales_phone,tech_email,tech_phone,available_voltage_services,diverse_serving_substations,property,region_continent,status_dashboard,created,updated,status,address1,address2,city,country,state,zipcode,floor,suite,latitude,longitude
1,2,"Equinix, Inc.",14.0,"Equinix DC1-DC15, DC21 - Ashburn",,,http://www.equinix.com/,"[{'service': 'website', 'identifier': 'http://www.equinix.com/'}]",ASBNVA,,703-723,,475,7,,,,,[],,,North America,,2010-07-29T00:00:00Z,2023-02-28T21:27:14Z,ok,21715 Filigree Ct,Building F,Ashburn,US,VA,20147-6205,,,39.016363,-77.459023
2,8592,Digital Realty,,Digital Realty SFO (200 Paul),,,https://www.digitalrealty.com,"[{'service': 'website', 'identifier': 'https://www.digitalrealty.com'}]",SNFCCA,,415-822,,41,2,,,,,[],,,North America,,2010-07-29T00:00:00Z,2021-11-01T23:10:23Z,ok,200 Paul Ave,,San Francisco,US,CA,94110,,,37.723407,-122.397923
4,2,"Equinix, Inc.",,Equinix DA1 - Dallas,,,https://www.equinix.com/locations/americas-colocation/united-states-colocation/dallas-data-centers/da1/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/united-states-colocation/dallas-data-centers/da1/'}]",DLLSTX,,214-782,,155,5,,,,,[],,,North America,,2010-07-29T00:00:00Z,2020-08-26T05:23:01Z,ok,1950 N Stemmons Fwy,Ste 1034,Dallas,US,TX,75207-3137,,,32.800955,-96.81955
5,2,"Equinix, Inc.",,"Equinix SV8 - Silicon Valley, Palo Alto",,,https://www.equinix.com/locations/americas-colocation/united-states-colocation/silicon-valley-data-centers/sv8/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/united-states-colocation/silicon-valley-data-centers/sv8/'}]",PLALCA,,650-617,,72,4,,,,,[],,,North America,,2010-07-29T00:00:00Z,2020-08-26T05:23:01Z,ok,529 Bryant St,,Palo Alto,US,CA,94301-1704,,,37.445896,-122.160775
6,2,"Equinix, Inc.",,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",,,https://www.equinix.com/locations/americas-colocation/united-states-colocation/silicon-valley-data-centers/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/united-states-colocation/silicon-valley-data-centers/'}]",SNJSCA,,408-360,,272,8,,,,,[],,,North America,,2010-07-29T00:00:00Z,2020-08-26T05:23:01Z,ok,11 Great Oaks Blvd,,San Jose,US,CA,95119-1242,,,37.241767,-121.782967
7,2,"Equinix, Inc.",,Equinix CH1/CH2/CH4 - Chicago,,,http://www.equinix.com/,"[{'service': 'website', 'identifier': 'http://www.equinix.com/'}]",CHCGIL,,312-596,,315,7,,,,,[],,,North America,,2010-07-29T00:00:00Z,2020-08-26T05:23:01Z,ok,350 E Cermak Rd,5th Floor / 6th Floor / 8th Floor,Chicago,US,IL,60616-1568,,,41.85365,-87.618342
8,2,"Equinix, Inc.",,Equinix LA1 - Los Angeles,,,https://www.equinix.com/locations/americas-colocation/united-states-colocation/los-angeles-data-centers/la1/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/united-states-colocation/los-angeles-data-centers/la1/'}]",LSANCA,,213-270,,149,6,,,,,[],,,North America,,2010-07-29T00:00:00Z,2020-08-26T05:23:01Z,ok,600 W 7th St,6th Floor,Los Angeles,US,CA,90017-3859,,,34.047501,-118.2573
9,2,"Equinix, Inc.",,"Equinix NY1 - New York, Newark",,,https://www.equinix.com/locations/americas-colocation/united-states-colocation/new-york-data-centers/ny1/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/united-states-colocation/new-york-data-centers/ny1/'}]",NWRKNJ,,973-792,,33,2,,,,,[],,,North America,,2010-07-29T00:00:00Z,2020-08-26T05:23:01Z,ok,165 Halsey St,8th Floor,Newark,US,NJ,07102-2834,,,40.736844,-74.173402
10,8592,Digital Realty,,Digital Realty NYC (60 Hudson),,,https://www.digitalrealty.com,"[{'service': 'website', 'identifier': 'https://www.digitalrealty.com'}]",NYCMNY,,212-233,fka: Telx NYC1,152,8,,,,,[],,,North America,,2010-07-29T00:00:00Z,2021-11-01T23:08:37Z,ok,60 Hudson St,,New York,US,NY,10013-3315,,,40.717723,-74.008299
11,2,"Equinix, Inc.",,Equinix AT2/AT3 - Atlanta,,,http://www.equinix.com/,"[{'service': 'website', 'identifier': 'http://www.equinix.com/'}]",ATLNGA,,404-525,,28,1,,,,,[],,,North America,,2010-07-29T00:00:00Z,2020-08-26T05:23:01Z,ok,56 Marietta St NW,5th Floor,Atlanta,US,GA,30303-2885,,,33.755456,-84.39153
