year,country,state,state_name,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled,State_Number,Population_2011,Growth_Percentage,Estimated_Population_2021,Per_Capita_NSDP,GSDP_in_Millions
2023,IN,IN-AN,Andaman and Nicobar Islands,0.131184438,0.025567723,40.30306052,32.58819308,242.8169337,205.138732,49.42082997,49.2798098,60.13077522,60.19813833,2776,35,"380,581",6.9,406841,229080,"103,705.20"
2023,IN,IN-AP,Andhra Pradesh,0.019567723,0.006991354,39.77978386,29.31652161,751.3306484,758.7532161,31.52040922,31.52821037,34.56277522,34.56708934,2776,28,"84,580,777",11,93884662,192587,"11,338,365.00"
2023,IN,IN-AR,Arunachal Pradesh,0.421847262,0.058636888,31.05686167,20.03772911,161.0039539,108.928536,79.97123919,79.77302594,82.20440346,82.31897695,2776,12,"1,383,727",26,1743496,205645,"351,235.40"
2023,IN,IN-AS,Assam,0.061704023,0.148977011,49.56174138,14.80359195,460.7338103,381.2157126,86.74572701,86.74308621,88.03368103,88.02775,2784,18,"31,205,576",17.1,36541729,102965,"4,126,118.70"
2023,IN,IN-BR,Bihar,0.040698276,0.008195402,53.63645402,15.74187644,592.6647759,424.3687874,75.92978448,75.93295115,78.0915977,78.09224138,2784,10,"104,099,452",25.4,130540713,47498,"6,503,024.30"
2023,IN,IN-CG,Chhattisgarh,0.032842105,0.007157895,38.35731579,22.90105263,545.1181579,529.0312632,53.94210526,53.87457895,53.70531579,53.708,152,22,"25,545,198",22.6,31318413,120704,"4,064,158.20"
2023,IN,IN-CH,Chandigarh,0.024,0.007216138,51.91693948,29.82904899,789.0993026,666.6506628,38.37417867,38.372317,40.15972911,40.16367147,2776,4,"1,055,450",17.2,1236987,333932,"456,352.60"
2023,IN,IN-DL,Delhi,0.32433908,0.124408046,64.8183477,30.21560057,1321.644615,1207.927244,28.56820115,28.57497701,30.61938793,30.62147126,2784,7,"16,787,941",21.2,20346984,389529,"9,046,420.40"
2023,IN,IN-GA,Goa,0.04659366,0.01045245,40.78511527,29.76499135,427.7455101,369.3557003,29.14980692,29.16013256,32.30032853,32.30301729,2776,30,"1,458,545",8.2,1578146,472070,"826,037.00"
2023,IN,IN-GJ,Gujarat,0.009072046,0.005763689,62.4509683,18.8729049,903.5383948,779.3910749,35.74872046,35.74348991,39.44582997,39.4354611,2776,24,"60,439,692",19.3,72104553,241930,"19,770,664.60"
2023,IN,IN-HP,Himachal Pradesh,0.025417867,0.007288184,46.52143516,17.42410375,666.7726744,358.8094265,41.81070605,41.81385303,43.96651009,43.97560807,2776,2,"6,864,602",12.9,7750136,201271,"1,762,694.70"
2023,IN,IN-HR,Haryana,0.017273775,0.006824207,57.18242363,28.66834294,878.2717233,800.652098,27.77544957,27.78381844,29.47803746,29.48048415,2776,6,"25,351,462",19.9,30396403,264835,"8,706,645.30"
2023,IN,IN-JH,Jharkhand,0.02445245,0.007293948,46.39749568,18.8078732,451.9386657,348.7611499,62.039683,62.0440317,65.88882709,65.87945533,2776,20,"32,988,134",22.4,40377476,84059,"3,588,625.90"
2023,IN,IN-JK,Jammu and Kashmir,0.079988473,0.012461095,34.31533429,7.563305476,251.5404092,83.43186167,63.03076081,63.07242075,63.80963689,63.83257349,2776,1,"12,541,302",23.6,15501049,120790,"1,999,174.20"
2023,IN,IN-KA,Karnataka,0.010982709,0.006495677,70.3425245,32.60231412,2640.053726,1995.821389,30.2110951,30.21005764,31.37429971,31.36848127,2776,29,"61,095,297",15.6,70626163,265623,"19,627,254.20"
2023,IN,IN-KL,Kerala,0.012579251,0.006507205,49.76238905,21.64503458,848.2385994,780.8182824,39.32001729,39.32455908,42.01699135,42.01271758,2776,32,"33,406,061",4.9,35042958,233855,"9,324,699.60"
2023,IN,IN-LD,Lakshadweep,14.3155828,9.846904459,37.13038535,25.27978981,68.03775796,47.01513694,54.15956369,54.49865924,58.6961853,59.02985942,2512,31,"64,473",6.3,68535,N/A,N/A
2023,IN,IN-MH,Maharashtra,0.012137931,0.006261494,57.06728448,24.3427931,2930.809784,2806.727399,25.81369253,25.81337931,27.23949138,27.24202011,2784,27,"112,374,333",16,130354226,215233,"31,080,218.70"
