nation_name,income_download_correlation,avg_download_speed,avg_household_income
DEEP SOUTH,0.420083937823021,128.0915931650992,50013.94642857143
EL NORTE,0.4027206747868946,114.05910235999998,52091.55172413793
FIRST NATION,0.4699910523729908,57.58954200361539,67019.07692307692
GREATER APPALACHIA,0.32194946093133225,129.22706001897546,54533.753468516545
NEW FRANCE,0.75510555440413,133.0149124396154,53196.38461538462
NEW NETHERLAND,0.3701714850967109,190.96447424444443,90617.44444444444
PART OF THE SPANISH CARIBBEAN,0.7679735673943328,178.17703195,64256.625
THE FAR WEST,0.27246695374160046,104.41421540367347,62201.31746031746
THE LEFT COAST,0.5083381995072966,147.46004243532258,76728.95161290323
THE MIDLANDS,0.3359574315662731,122.56897032006368,62471.77919320595
TIDEWATER,0.2731874515506526,153.8137947508029,69626.72262773722
YANKEEDOM,0.4421584062003944,131.75661905269664,65788.73707865168
