year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,number_of_measurements,POP_ESTIMATE_2021,NET_MIG_2021,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
2023,1001,1,Alabama,Autauga,4.3639306358381535,0.9052745664739884,186.148274566474,75.66339017341025,650.1425751445087,512.9239190751449,9.53890462427747,9.572167630057802,20.647072254335285,20.661190751445087,2768,59210.0,255.0,66444.0,123.1
2023,1003,1,Alabama,Baldwin,0.1831791907514452,0.0340231213872832,139.03028323699448,70.5195809248555,867.1825924855495,860.3314277456643,20.05684104046244,20.078225433525983,30.079497109826598,30.118760115606957,2768,239361.0,7074.0,65658.0,121.6
2023,1005,1,Alabama,Barbour,8.200780346820821,2.0390606936416207,118.89827456647392,22.69897976878612,362.4425433526012,99.18674566473986,22.930572254335267,22.919150289017367,27.23365028901735,27.15588439306357,2768,24539.0,-308.0,38649.0,71.60000000000001
2023,1007,1,Alabama,Bibb,8.87515606936416,4.852895953757211,95.28656936416182,64.69897398843922,334.4725404624278,237.2711647398843,21.37791040462427,21.60926011560695,23.769239884393063,23.906725433526017,2768,22370.0,260.0,48454.0,89.7
2023,1009,1,Alabama,Blount,1.6077254335260127,0.1703468208092487,126.46930635838164,29.892080924855478,569.9795809248564,275.56043352601125,18.994260115606927,19.01602890173411,28.57151156069365,28.42209537572252,2768,59085.0,149.0,56894.0,105.4
2023,1011,1,Alabama,Bullock,36.67445171339557,23.60989408099687,94.13389408099698,63.08633644859815,180.60028037383177,128.38141744548292,27.536121495327123,26.96743302180688,31.640689873417724,31.640689873417745,2568,10280.0,19.0,32027.0,59.3
2023,1013,1,Alabama,Butler,7.720303468208101,3.0730520231213863,99.5577947976879,26.018283236994204,279.0522630057804,107.08041040462432,37.19559537572254,37.553771676300634,40.10506936416188,40.189884393063565,2768,18855.0,-70.0,39442.0,73.10000000000001
2023,1015,1,Alabama,Calhoun,0.6238265895953752,0.0589046242774566,196.9248526011561,89.67097687861279,939.0909046242768,886.4723930635834,11.745812138728327,11.767702312138722,19.55525433526013,19.568921965317926,2768,115677.0,-56.0,48166.0,89.2
2023,1017,1,Alabama,Chambers,6.523303468208091,1.24841907514451,161.00726300578052,26.8864161849711,505.7355924855488,155.44829190751446,19.607502890173404,19.579708092485536,30.6393641618497,30.638312138728285,2768,34446.0,12.0,45447.0,84.2
2023,1019,1,Alabama,Cherokee,1.6985739130434785,0.1948463768115941,43.492565217391274,9.398608695652175,228.75727826086975,61.99279710144927,15.175521739130447,15.20700289855072,26.253672463768098,26.23868695652173,2760,25026.0,291.0,46365.0,85.9
2023,1021,1,Alabama,Chilton,2.276231213872832,0.3967543352601156,105.74172254335248,56.175910404624254,463.6447630057801,272.8085924855493,15.556592485549128,15.558303468208097,25.39113583815024,25.391465317919028,2768,45259.0,310.0,55142.0,102.1
2023,1023,1,Alabama,Choctaw,8.55062762762763,1.1149039039039037,26.608855855855868,3.841663663663668,58.435648648648645,9.335474474474477,31.502354354354328,31.952468468468453,37.77312912912911,37.425867867867865,2664,12549.0,-11.0,40601.0,75.2
2023,1025,1,Alabama,Clarke,28.142959876543216,6.48342283950617,86.70463580246921,24.532731481481463,175.43954012345694,60.77584259259261,37.77288580246909,39.487388888888844,41.17182407407408,41.2908024691358,2592,22715.0,-120.0,45447.0,84.2
2023,1027,1,Alabama,Clay,34.44369131832796,15.600025723472658,110.02350803858516,52.02788745980703,247.89019292604505,138.22733762057868,28.276797427652735,28.296302250803866,33.09144336569574,33.42531067961161,2488,14190.0,76.0,47036.0,87.10000000000001
2023,1029,1,Alabama,Cleburne,17.45062079510701,8.528538226299691,75.11600917431196,38.44096941896025,176.50136391437297,96.00333333333332,21.676477064220222,22.06103975535166,24.05044036697249,23.67812232415904,2616,15148.0,174.0,49769.0,92.2
2023,1031,1,Alabama,Coffee,2.220635838150288,0.3154884393063587,164.55749132948014,43.074910404624255,621.6422890173416,412.12254913294805,17.94089306358382,17.963274566473963,24.391367052023146,24.385080924855504,2768,54171.0,654.0,55052.0,102.0
2023,1033,1,Alabama,Colbert,4.000078034682086,0.6218236994219649,170.7583872832372,69.38125433526005,604.7053179190754,473.9598843930637,12.092135838150302,12.087000000000003,24.980950867052023,24.961552023121403,2768,57619.0,550.0,53341.0,98.80000000000001
2023,1035,1,Alabama,Conecuh,19.74471080139376,6.265536585365854,43.78139372822295,15.511205574912896,75.29383623693386,29.487581881533103,45.397574912892,37.20038675958188,41.642723776223775,41.30597202797203,2296,11320.0,-122.0,35621.0,66.0
2023,1037,1,Alabama,Coosa,61.27417735849065,25.79948301886795,111.84457735849053,41.45683773584902,183.03336226415095,65.10922641509437,24.568384905660388,24.89539245283019,28.776871485943776,28.538995983935763,2120,10366.0,130.0,45954.0,85.10000000000001
2023,1039,1,Alabama,Covington,3.476130057803472,0.8829248554913299,159.87511271676294,111.84239017341037,604.633531791907,566.9901127167631,23.177875722543344,23.1317774566474,29.476673410404615,29.60548265895957,2768,37542.0,308.0,44188.0,81.80000000000001
2023,1041,1,Alabama,Crenshaw,17.938253644314855,6.964303206997075,114.1461516034984,56.05196793002917,294.7957405247818,139.58015743440228,20.300408163265303,20.24047813411078,32.28049560117303,31.94849266862172,2744,13056.0,-9.0,38037.0,70.5
2023,1043,1,Alabama,Cullman,1.1217745664739878,0.1297861271676301,158.59891907514458,52.64995664739883,715.3624075144513,525.1615751445091,22.46229479768785,22.459494219653205,28.692849710982674,28.68415028901735,2768,89618.0,1902.0,55036.0,101.9
2023,1045,1,Alabama,Dale,2.4967312138728297,0.3702485549132951,149.96790173410383,56.91432369942193,594.4494508670518,413.9812485549135,21.485011560693653,21.55558381502889,27.39073410404624,27.424277456647403,2768,49412.0,125.0,50086.0,92.80000000000001
