GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,year
2020,Anchorage Municipality,109.58283382940913,23.71470636992862,18.81061237600896,16144.0,2019
2050,Bethel Census Area,7.35248443060717,5.404729031781854,34.63168962280709,178.25,2019
2060,Bristol Bay Borough,4.798471273291925,0.9812109860248448,39.34845690993789,17.25,2019
2068,Denali Borough,23.63648372351296,14.533863916433893,26.776307760911724,395.0,2019
2070,Dillingham Census Area,4.07737179397851,1.6100606812375469,31.840437859840844,48.0,2019
2090,Fairbanks North Star Borough,84.0650052461224,18.494517385235994,40.57723531730701,4481.25,2019
2100,Haines Borough,7.638269252873563,2.506210221674877,40.957881773399016,77.0,2019
2105,Hoonah-Angoon Census Area,8.593460235042736,3.155820159137159,170.49700752950753,82.5,2019
2110,Juneau City and Borough,68.65961336865485,17.013333834092627,36.08322895622541,1334.5,2019
2122,Kenai Peninsula Borough,45.69350370395221,14.625487755313008,55.14331296919349,5136.0,2019
2130,Ketchikan Gateway Borough,78.37437206054821,64.32051361808686,13.24932367344773,783.75,2019
2150,Kodiak Island Borough,93.98401094354482,21.441739993698533,32.251920636657374,695.5,2019
2158,Kusilvak Census Area,5.5073021036356815,4.899872124875063,42.75526299350325,107.5,2019
2164,Lake and Peninsula Borough,6.031603113553114,1.8819082417582416,474.7652014652015,20.33333333333333,2019
2170,Matanuska-Susitna Borough,64.94190824366446,15.579034336435765,21.259896454655447,6060.75,2019
2180,Nome Census Area,6.28998963349285,6.288078448331129,34.17781375660948,82.0,2019
2185,North Slope Borough,16.994464593392905,20.001018790833196,24.25296303544012,489.25,2019
2188,Northwest Arctic Borough,8.435930115492186,10.145944032496237,35.61787341821667,48.75,2019
2195,Petersburg Borough,79.98423717741402,23.54173520409289,43.10834943043844,64.25,2019
2198,Prince of Wales-Hyder Census Area,6.138483875184374,2.510018410514565,123.74800915731248,127.5,2019
2220,Sitka City and Borough,90.63690319619012,19.14175994604595,36.42452362794872,467.0,2019
2230,Skagway Municipality,8.903236836104488,1.446933882505138,42.36719091033223,91.0,2019
2240,Southeast Fairbanks Census Area,13.635794869251365,4.153571930287334,51.0115748179951,364.25,2019
2261,Valdez-Cordova Census Area,41.51430246544099,15.38369944068748,32.985953570083616,778.75,2019
2275,Wrangell City and Borough,83.06752041435952,17.798254609998423,22.15583081177141,83.25,2019
2290,Yukon-Koyukuk Census Area,6.941153571428572,5.995338571428571,91.415,24.75,2019
2016,Aleutians West Census Area,329.066,18.36,11.0,2.0,2020
2020,Anchorage Municipality,144.3297463991761,25.756664192465124,15.584449971329752,20240.75,2020
2050,Bethel Census Area,6.05082307584794,3.8771760815068057,38.20630519054122,399.25,2020
2060,Bristol Bay Borough,6.933903056484579,1.316091044221479,36.39376625789669,18.25,2020
2063,Chugach Census Area,119.66560853771357,72.00510218793319,15.791143782091476,610.0,2020
2066,Copper River Census Area,46.8340751719948,26.51704920910779,18.68140860361451,194.25,2020
2068,Denali Borough,38.08243457664479,15.99119752618719,17.926662508868674,237.0,2020
2070,Dillingham Census Area,5.852589525525822,2.7231843092722423,31.69875634991168,107.0,2020
2090,Fairbanks North Star Borough,119.49120328216284,20.48012250700292,30.089395617774574,5538.0,2020
2100,Haines Borough,12.507559106334842,5.518704124919198,18.440146250808017,51.5,2020
2105,Hoonah-Angoon Census Area,19.027429043240936,4.424005531470337,97.8302841142647,82.75,2020
2110,Juneau City and Borough,103.8320851291594,18.931336687668733,29.642793808734694,1741.75,2020
2122,Kenai Peninsula Borough,51.7272463775582,14.622817379871316,41.413650231291925,6240.25,2020
2130,Ketchikan Gateway Borough,96.06221901119228,82.99177074197085,12.376753531268813,947.0,2020
2150,Kodiak Island Borough,113.98307120414756,19.65652320497214,24.06381379990787,856.25,2020
2158,Kusilvak Census Area,5.351792605530841,7.597894269579271,42.94686906614596,88.75,2020
2164,Lake and Peninsula Borough,7.2291763157894735,1.918612171052632,334.5078947368421,35.25,2020
2170,Matanuska-Susitna Borough,82.11782407615712,18.33924112719821,18.84734858512832,7139.75,2020
2180,Nome Census Area,7.102021881469979,6.297025944616976,35.43906573498965,89.75,2020
2185,North Slope Borough,13.253033855352252,18.28400976197063,25.946098722277256,382.0,2020
2188,Northwest Arctic Borough,6.68720935370235,4.1828732536551065,37.31126126865058,122.5,2020
2195,Petersburg Borough,131.5045430448897,23.73116559834378,32.463672200205295,123.25,2020
2198,Prince of Wales-Hyder Census Area,11.989964866179417,3.209924868771166,72.42058703089364,164.5,2020
2220,Sitka City and Borough,126.6119711165414,23.29551955859999,38.01936773926282,441.25,2020
2230,Skagway Municipality,17.991965360258938,4.111341575194671,14.582939300121962,24.25,2020
2240,Southeast Fairbanks Census Area,16.398360523023005,4.305404220456857,46.47732475527109,386.5,2020
2275,Wrangell City and Borough,145.80094016967013,21.7082295960078,17.438157268898696,83.0,2020
2290,Yukon-Koyukuk Census Area,12.503256534090909,13.448031281565658,31.755902777777777,31.75,2020
2020,Anchorage Municipality,196.4260882016056,27.821553889723287,14.265829967978016,16601.75,2021
2050,Bethel Census Area,6.309718750119366,2.8736078759424943,36.44442525151254,341.5,2021
2060,Bristol Bay Borough,9.8323125,2.376556547619048,35.898809523809526,12.5,2021
2063,Chugach Census Area,111.76795844657757,75.25871183044282,15.384665507526211,422.75,2021
2066,Copper River Census Area,92.89302220158967,49.48941163087896,17.892417051332952,168.75,2021
2068,Denali Borough,34.18744428839689,14.374722584285797,20.799285148937702,262.25,2021
