GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,year
34001,Atlantic County,151.65670569742554,17.269354486330478,20.498590772436145,12429.75,2019
34003,Bergen County,133.3629656326141,75.96079774717784,11.941562487138093,60943.5,2019
34005,Burlington County,161.53511075395278,33.86434995504803,17.62721048405785,23709.25,2019
34007,Camden County,159.32682001164693,44.06457884774851,16.08586000035083,19476.75,2019
34009,Cape May County,136.92815876989044,13.555214046942368,24.05936703068495,8107.25,2019
34011,Cumberland County,164.54531219452218,25.35608701084621,20.43901367511717,3290.0,2019
34013,Essex County,133.45274493680466,84.77606467638937,12.248281017291772,31669.0,2019
34015,Gloucester County,169.7474045946121,31.27615961980409,17.591410675075508,12559.25,2019
34017,Hudson County,138.27059372210738,86.01227598731592,12.240434769537382,36220.75,2019
34019,Hunterdon County,130.45417563576277,14.105374095708967,16.595330389150106,8966.0,2019
34021,Mercer County,133.9147239034352,70.8179433091399,14.028839737780192,17227.25,2019
34023,Middlesex County,133.63699575488118,44.91636766397367,14.89249747571018,62158.0,2019
34025,Monmouth County,133.48944493208836,62.57758683558665,13.513132352037204,37619.25,2019
34027,Morris County,120.3798515066516,55.231461648125006,13.04598611498696,37829.0,2019
34029,Ocean County,149.13312759848893,32.516164882074406,17.396082671931104,28049.75,2019
34031,Passaic County,127.21690330362227,57.96069121958124,12.945442154859638,26327.75,2019
34033,Salem County,162.91678962018796,20.827512245096848,35.81123976371454,2267.75,2019
34035,Somerset County,142.09282422723606,64.70260933207652,12.437218020073407,26597.25,2019
34037,Sussex County,62.33256850238383,12.55430050595741,23.24452146520658,9366.0,2019
34039,Union County,139.03836353169726,75.00280863286011,12.740639775132228,25681.25,2019
34041,Warren County,86.43593980720695,8.849887302268453,35.38387243728702,6490.0,2019
34001,Atlantic County,172.28882823581768,19.338130131895177,18.3586434793037,17364.75,2020
34003,Bergen County,168.9067302044233,88.74082627391925,11.030207520049716,95654.25,2020
34005,Burlington County,183.33257605170945,38.7820889997802,17.33547393796438,32305.5,2020
34007,Camden County,177.88139238608088,52.275868763966976,15.491247513529784,27185.5,2020
34009,Cape May County,158.55190001002762,16.65098892709039,20.52484149673124,12178.5,2020
34011,Cumberland County,190.80855633096587,33.365796674740324,18.600132385444383,4180.75,2020
34013,Essex County,166.80310812422795,94.1288533934708,11.1388822969005,48538.5,2020
34015,Gloucester County,192.0548007195265,38.82622060613771,16.789624577576266,16855.25,2020
34017,Hudson County,178.25192239723964,97.03459546797176,10.983870901950716,50294.5,2020
34019,Hunterdon County,155.03849437870744,15.738150199058005,17.571248948989457,13823.25,2020
34021,Mercer County,160.8152491706077,82.49178875169277,13.055769667635136,27741.25,2020
34023,Middlesex County,165.1755216963342,53.57509314802559,13.70288023387348,94942.0,2020
34025,Monmouth County,163.48326715642517,69.67442889620943,12.674373825926132,59723.25,2020
34027,Morris County,150.34821817907306,58.41694003501949,12.48659416332343,62247.0,2020
34029,Ocean County,170.67085453223285,38.736550641007206,15.832374409130065,42221.0,2020
