GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
40001,Adair County,208.23729811547952,200.57182687504866,9.227748196329994,579.75
40003,Alfalfa County,117.30013093619263,83.09270520275703,31.586744709223908,183.5
40005,Atoka County,127.94652555206962,60.676774807914995,57.03592401749672,452.75
40007,Beaver County,123.67110346713923,114.46103553027503,23.916323095115565,140.0
40009,Beckham County,205.58684547007752,81.97628610310694,27.025492966504366,1012.0
40011,Blaine County,89.95955058264937,77.68172600664627,21.64840170779479,655.25
40013,Bryan County,147.84518257471058,32.16622241605268,32.39655051919367,3390.0
40015,Caddo County,95.64925133980469,61.3949151085704,29.105297742631585,1179.25
40017,Canadian County,281.2592082546116,157.34308691098727,18.51419227003975,9105.25
40019,Carter County,166.72496566169093,22.84751104927939,22.51017639197403,2358.5
40021,Cherokee County,181.9925703271398,140.70932427123583,14.778951279341797,2515.5
40023,Choctaw County,86.59804608717407,17.90066675258235,69.45318898534887,654.75
40025,Cimarron County,130.11821613756615,130.99274781746033,26.46335978835979,59.25
40027,Cleveland County,295.1145554061106,167.0265832822741,10.913525154639046,16220.25
40029,Coal County,97.4281024607461,12.02772615045373,49.3744944222817,177.75
40031,Comanche County,258.21295027143316,85.45525250981257,19.048728031083073,9603.5
40033,Cotton County,89.06543438873572,44.542687207933184,32.95802475886502,316.75
40035,Craig County,118.67878356769576,44.592187090345085,35.64886079329209,338.25
40037,Creek County,194.55381813662916,83.73033068670759,33.07234244921438,3533.25
40039,Custer County,196.32619218518832,136.3106892892738,18.977710285582578,1873.0
40041,Delaware County,107.76310673272606,65.06051695327626,31.56000695104212,2656.25
40043,Dewey County,109.13565825834573,97.382520295935,21.846499086402236,293.25
40045,Ellis County,65.71018855092876,19.841143126761423,53.6142289515258,153.75
40047,Garfield County,270.17230916299553,141.5079766650201,17.639808113300596,3026.5
40049,Garvin County,169.9026234754063,20.802574824708984,37.69190052639101,1415.75
40051,Grady County,191.15605048643442,133.56027948088166,20.42772875755912,3555.75
40053,Grant County,47.40267548907242,17.115196811793638,44.01373636749865,216.75
40055,Greer County,111.80856476958996,18.9332488085786,34.77279678924619,173.75
40057,Harmon County,32.00622883852259,10.492714285714285,37.423527167277165,63.75
40059,Harper County,82.72066126878053,78.15263724069338,30.64776764843385,68.0
40061,Haskell County,176.7757713597241,127.76608287362052,27.666395048277646,788.5
40063,Hughes County,68.11949452554559,11.885528366894945,77.69792157325719,262.25
40065,Jackson County,239.37126214096958,124.99643324409934,24.47815269076606,1867.0
40067,Jefferson County,80.87060045585244,69.666194461359,52.602759468290856,165.25
40069,Johnston County,101.91424810761698,13.963722417079211,72.05602513193755,591.0
40071,Kay County,149.35053006352754,61.25481514438414,41.52085926757994,2345.5
40073,Kingfisher County,133.6746676242448,120.06760385354153,24.651229564123916,932.75
40075,Kiowa County,186.4838934371204,118.63118630377289,39.318257113087725,359.25
40077,Latimer County,107.22754483610603,21.514006004636286,56.09263638085624,615.25
40079,Le Flore County,173.1163468105318,111.43246085988413,36.1616020568904,2811.75
