GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,year
41001,Baker County,52.629041328501245,9.558261128650056,54.95376923566492,519.75,2019
41003,Benton County,111.13914254219048,13.068936131850514,19.737737062982063,4386.25,2019
41005,Clackamas County,129.15210084359913,24.24626137699161,21.059300155454068,28523.0,2019
41007,Clatsop County,59.860787645141,8.763593753308665,52.21252442260435,2594.5,2019
41009,Columbia County,97.60660018927892,9.935929802395563,74.9503794318424,2178.5,2019
41011,Coos County,62.39904702140444,10.594831583368643,99.47245426869608,2246.75,2019
41013,Crook County,27.312494325493127,6.887629749709275,64.46907552254194,1062.75,2019
41015,Curry County,69.9499224010514,11.02749311218481,68.47396032720759,1249.5,2019
41017,Deschutes County,75.35061795770416,10.594533223355452,29.19652400848852,13032.75,2019
41019,Douglas County,73.13877942565381,18.10663312955277,38.92937085954165,4616.75,2019
41021,Gilliam County,32.8502506227121,32.20629205222644,56.28149045998566,39.75,2019
41023,Grant County,23.0089156422154,5.04358882069484,340.8261329044503,72.0,2019
41025,Harney County,19.308714987093925,3.868102474259148,127.16391004249736,80.25,2019
41027,Hood River County,81.49235602082223,20.23068725570368,28.770081532886294,1782.75,2019
41029,Jackson County,77.24431582923046,12.1112401248581,45.47832051030574,11293.25,2019
41031,Jefferson County,26.921616403443924,5.414329248073242,82.22271556665434,709.75,2019
41033,Josephine County,57.09945013505801,8.125770020616173,134.1945892858262,4145.25,2019
41035,Klamath County,70.15257364139671,11.831420752645457,92.15714669113002,2326.75,2019
41037,Lake County,39.64985915364011,11.390177424015878,47.656976198503976,213.75,2019
41039,Lane County,99.50862329769733,12.545577563057844,59.81241791115174,18245.75,2019
41041,Lincoln County,65.67498633842793,8.75187047233165,37.86071468168594,3714.0,2019
41043,Linn County,106.35829276129982,13.09310612100156,35.83018332599422,5454.25,2019
41045,Malheur County,43.646548183513495,7.073181919682554,37.48467925000468,674.5,2019
41047,Marion County,115.20219294348594,14.982489483404288,30.486084179740786,13933.0,2019
41049,Morrow County,18.89453456654465,8.060635567997004,59.70923106808319,467.75,2019
41051,Multnomah County,120.08020507238666,37.59897135851887,14.518154348474086,50765.75,2019
41053,Polk County,106.42201904931646,12.452534775359446,44.90489772542093,4041.5,2019
41055,Sherman County,27.10254688397457,5.764321302515656,57.62481250106867,98.75,2019
41057,Tillamook County,58.31976938327194,9.054269691851236,44.832924183793175,2169.5,2019
41059,Umatilla County,65.19730327826903,15.365571534109725,56.77000895193703,2508.75,2019
41061,Union County,55.74146136716077,7.924149787979291,55.002425850864434,796.75,2019
41063,Wallowa County,14.213670395823073,6.443888971886841,80.13954422231704,301.25,2019
41065,Wasco County,63.042902213365,9.27172181763768,49.417409875708586,1428.0,2019
41067,Washington County,117.7998283225033,28.77674019622152,17.147809477736768,47955.0,2019
41069,Wheeler County,17.62996687136393,8.071875655390361,323.08535337211805,35.0,2019
41071,Yamhill County,99.6622548929872,23.81913561342931,50.2018267454118,5031.0,2019
41001,Baker County,84.36525707613329,12.179579261376562,38.45694140135559,762.5,2020
