GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
1001,Autauga County,33.50020343151822,11.562164910000105,49.05253238394293,463.5,Alabama,2020,59759.0,535.0,66444.0,123.1
1003,Baldwin County,36.78208235656157,8.945933549597322,61.76093418922797,3094.0,Alabama,2020,246435.0,7297.0,65658.0,121.6
1005,Barbour County,27.94166322416584,6.14790481444285,77.9050270258197,118.75,Alabama,2020,24706.0,247.0,38649.0,71.60000000000001
1007,Bibb County,28.91186314785121,5.642854374347278,61.18643770018125,150.25,Alabama,2020,22005.0,-299.0,48454.0,89.7
1009,Blount County,28.447939850124943,7.527503810540448,56.72669172607081,348.25,Alabama,2020,59512.0,606.0,56894.0,105.4
1011,Bullock County,30.68222154161628,10.10499075924076,60.61261764551239,17.0,Alabama,2020,10202.0,-38.0,32027.0,59.3
1013,Butler County,24.391990399986646,6.189314284384201,68.57715144999332,120.75,Alabama,2020,18650.0,-105.0,39442.0,73.10000000000001
1015,Calhoun County,28.641734964203447,7.164184547115633,53.10207294305455,640.5,Alabama,2020,115788.0,672.0,48166.0,89.2
1017,Chambers County,25.025210465694904,7.431365933394749,60.78960344618932,172.75,Alabama,2020,34088.0,-155.0,45447.0,84.2
1019,Cherokee County,31.65103747072088,7.618742051067868,58.92684230961594,344.0,Alabama,2020,25302.0,492.0,46365.0,85.9
1021,Chilton County,30.25365355823408,7.291249020081217,47.65193393583952,276.0,Alabama,2020,45884.0,695.0,55142.0,102.1
1023,Choctaw County,27.451602134461314,6.960931429436422,108.75394852210596,89.75,Alabama,2020,12439.0,-41.0,40601.0,75.2
1025,Clarke County,20.309543930952703,5.9261259058822215,97.14400849386942,140.25,Alabama,2020,22515.0,-56.0,45447.0,84.2
1027,Clay County,27.88139672672909,5.421120745297925,69.78869477915242,104.25,Alabama,2020,14198.0,101.0,47036.0,87.10000000000001
1029,Cleburne County,31.014684480988425,6.072514078487451,64.09221669736196,123.75,Alabama,2020,15346.0,268.0,49769.0,92.2
1031,Coffee County,24.686223692508644,6.524995253205416,58.14276032153207,261.25,Alabama,2020,54805.0,656.0,55052.0,102.0
1033,Colbert County,35.33719940472528,9.040153910613528,64.95587657068478,347.5,Alabama,2020,58033.0,618.0,53341.0,98.80000000000001
1035,Conecuh County,30.291072330934,8.303446330562636,75.34246698969001,107.5,Alabama,2020,11206.0,-4.0,35621.0,66.0
1037,Coosa County,27.634800564019702,6.737807217010355,68.35322886825023,96.25,Alabama,2020,10166.0,-111.0,45954.0,85.10000000000001
1039,Covington County,19.64530390003247,5.0375192527648,80.15598914921,278.0,Alabama,2020,37602.0,338.0,44188.0,81.80000000000001
1041,Crenshaw County,16.933519906296638,4.090144337116631,79.8179260472476,107.75,Alabama,2020,13025.0,70.0,38037.0,70.5
1043,Cullman County,34.66734767462621,9.029542893613709,58.066671860872574,883.5,Alabama,2020,90665.0,1287.0,55036.0,101.9
1045,Dale County,25.28679532540928,6.343277270315493,55.81012874646518,522.75,Alabama,2020,49544.0,160.0,50086.0,92.80000000000001
1047,Dallas County,37.05861085470249,6.90323347390997,74.84731960141421,179.75,Alabama,2020,36767.0,-611.0,33159.0,61.40000000000001
1049,DeKalb County,24.10002046779407,6.219071643116095,81.7204546023607,291.25,Alabama,2020,71998.0,462.0,45062.0,83.5
1051,Elmore County,35.049946856185045,9.9859081234538,47.67340047979502,621.25,Alabama,2020,89563.0,954.0,63147.0,117.0
1053,Escambia County,47.41975311065403,8.609312230282017,62.92636269690104,474.0,Alabama,2020,36666.0,210.0,40506.0,75.0
1055,Etowah County,29.136349594781603,7.401970958886876,52.658121100040255,446.0,Alabama,2020,103088.0,581.0,46308.0,85.80000000000001
1057,Fayette County,27.24198717948718,5.985723221468074,64.79250251382604,54.0,Alabama,2020,16118.0,84.0,46122.0,85.4
1059,Franklin County,27.11834700584909,6.643665327689286,79.14360365714532,148.75,Alabama,2020,31932.0,25.0,45440.0,84.2
1061,Geneva County,22.610047506514217,5.49754795588746,62.346224836204456,264.25,Alabama,2020,26783.0,336.0,43206.0,80.0
1063,Greene County,30.147653476220967,6.046295323056552,58.55877848966746,147.5,Alabama,2020,7422.0,-113.0,30225.0,56.0
1065,Hale County,48.01540641328249,8.52138587877504,62.63404042849361,44.5,Alabama,2020,14595.0,-70.0,41995.0,77.80000000000001
1067,Henry County,18.30907111592543,4.571468875773176,80.50916639476253,164.25,Alabama,2020,17655.0,334.0,56389.0,104.4
1069,Houston County,35.15437432597389,10.470364645521691,55.10246938264234,872.5,Alabama,2020,108079.0,832.0,48701.0,90.2
1071,Jackson County,26.90012312072841,7.661401626361739,55.63344090627371,202.25,Alabama,2020,52891.0,600.0,46998.0,87.0
1073,Jefferson County,58.626417841556325,14.41738414664189,37.42601059821007,4600.75,Alabama,2020,665409.0,-3791.0,55210.0,102.3
1075,Lamar County,29.30193806537256,6.111642036203595,74.64038555902458,76.75,Alabama,2020,13705.0,51.0,44265.0,82.0
1077,Lauderdale County,32.76208371981162,9.652089367432792,64.24217751981053,699.5,Alabama,2020,95878.0,1401.0,52222.0,96.7
1079,Lawrence County,31.42206605138116,7.133530404399572,56.33757471539459,281.25,Alabama,2020,33214.0,274.0,55555.0,102.9
1081,Lee County,35.4796279573983,8.982755211054847,53.02377636262722,949.75,Alabama,2020,180773.0,2608.0,54188.0,100.4
1083,Limestone County,41.59431519446436,11.398275433920006,51.708654178595424,849.0,Alabama,2020,110900.0,3325.0,69207.0,128.2
1085,Lowndes County,25.38419966018997,6.629284997429504,73.22155721636854,85.0,Alabama,2020,9777.0,-93.0,36993.0,68.5
1087,Macon County,36.54695375318684,8.030959717691019,66.04928539019964,107.75,Alabama,2020,18516.0,-283.0,35354.0,65.5
1089,Madison County,42.55786993368572,13.053106819235753,47.64763620438263,3123.5,Alabama,2020,403565.0,6387.0,78386.0,145.2
1091,Marengo County,46.76070652125793,9.464335508125664,44.3845055982163,137.75,Alabama,2020,18745.0,-89.0,42048.0,77.9
1093,Marion County,33.071328184669184,9.122250612933506,54.74372643169888,188.0,Alabama,2020,29156.0,361.0,44636.0,82.7
1095,Marshall County,31.532992940716795,8.392796917316879,47.70337161423947,554.25,Alabama,2020,99423.0,1028.0,50858.0,94.2
1097,Mobile County,38.68883538867564,9.913721327441271,57.17833678852001,2919.5,Alabama,2020,411411.0,-1213.0,49848.0,92.30000000000001
