GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
22001,Acadia Parish,76.62072447976212,9.490328976392949,44.44415396460895,2944.25
22003,Allen Parish,31.62916718703077,5.203746093954837,102.67678117193176,776.25
22005,Ascension Parish,109.84581609348206,86.1433446112149,6.8994891771699285,9122.0
22007,Assumption Parish,89.42627893485991,11.860109090753866,23.21193290705922,951.25
22009,Avoyelles Parish,21.122666661429005,4.476874684749632,69.55449348275556,1179.75
22011,Beauregard Parish,118.45696956381178,20.92955630600116,106.25502051018262,1425.75
22013,Bienville Parish,32.03267369776583,5.241948794042147,321.31347233467045,249.0
22015,Bossier Parish,185.12544549612176,50.706783473097985,26.41719170134821,14243.5
22017,Caddo Parish,124.23510947543821,32.01917294636262,43.58931048876281,13697.25
22019,Calcasieu Parish,158.4779611206739,47.84212385849413,30.10008342294764,14773.75
22021,Caldwell Parish,108.0511974983045,14.77186197409545,161.12406645302156,204.0
22023,Cameron Parish,66.82098819658448,30.885638220303314,151.98952787051303,59.25
22025,Catahoula Parish,26.770013266506023,2.7710559068244622,574.5069191909079,87.5
22027,Claiborne Parish,54.35059361125832,9.612250437037178,164.03975725024745,397.25
22029,Concordia Parish,34.801112684700136,9.752054841857566,100.67723110463763,795.25
22031,De Soto Parish,101.31335209447462,31.57560425061876,127.55062599150652,1171.25
22033,East Baton Rouge Parish,130.14656785788404,50.61539907803152,18.01796814756797,29119.5
22035,East Carroll Parish,48.74094588997458,11.272319554074327,35.762070516061286,158.5
22037,East Feliciana Parish,54.124980723394344,17.16003531128098,268.1587523391767,769.25
22039,Evangeline Parish,17.75417808808717,2.698605802538145,117.30723910202465,893.0
22041,Franklin Parish,76.26969076214507,10.107751841237421,72.54677422265392,278.5
22043,Grant Parish,120.47074765206895,19.773859046795074,62.85473013918206,704.75
22045,Iberia Parish,84.59042586538871,18.0625258532733,36.69929392301955,4324.25
22047,Iberville Parish,107.90859385731233,24.270390383077707,44.56244275355744,1445.5
22049,Jackson Parish,13.496500413734072,2.9950868328326568,165.40668145869373,270.75
22051,Jefferson Parish,128.50887206247037,46.23392727827656,16.38634562737876,32541.75
22053,Jefferson Davis Parish,48.146674067009975,9.1439992677803,61.37866493785088,1810.5
22055,Lafayette Parish,133.24462643101668,74.09914339901816,17.84269030120503,21998.0
22057,Lafourche Parish,122.80663123378812,34.21615818408865,20.98389408648792,5781.5
22059,LaSalle Parish,17.387717898322496,6.765257886852389,75.40739530828111,589.25
22061,Lincoln Parish,75.70296040772203,17.70388905084245,35.56156749987489,3079.5
22063,Livingston Parish,156.44054678473864,61.70011696281558,17.316373070410794,10498.25
22065,Madison Parish,68.18166794113276,10.476707243889232,36.50833596920829,269.25
22067,Morehouse Parish,105.52085074732975,43.71694758270804,53.74152314033059,858.75
22069,Natchitoches Parish,119.75365110663759,33.03698285331374,46.46735331125724,1549.0
22071,Orleans Parish,129.06078329721296,41.58717518642635,14.54189533535779,24250.5
22073,Ouachita Parish,127.29445487548887,38.49264569215144,50.260291992491645,7270.25
22075,Plaquemines Parish,121.03236857660369,57.802036087683646,25.92659884009009,1939.5
22077,Pointe Coupee Parish,69.40190381636245,9.907438686940566,47.13664038331116,1607.0
22079,Rapides Parish,143.8494468243246,41.90885769318072,25.944309932738665,9324.5
22081,Red River Parish,63.886638331484846,58.14206405899461,146.16039833575934,180.25
22083,Richland Parish,68.10295452334469,9.223567928714061,69.67464695147422,337.25
22085,Sabine Parish,13.333635759212164,2.7686418695483623,122.86055420555728,763.75
22087,St. Bernard Parish,117.6215210376053,18.724968875184153,17.159382483670477,2264.0
22089,St. Charles Parish,142.40397361405078,56.38455944554907,15.211690590946661,4548.75
22091,St. Helena Parish,52.48647386750788,6.646572853496135,288.3458321659719,227.0
22093,St. James Parish,100.93630492374578,10.949687423853423,18.614261096539543,886.5
22095,St. John the Baptist Parish,113.72117545685133,28.806944149985725,24.490012817204,1875.25
22097,St. Landry Parish,84.37861002785053,22.89319958596399,90.43593353639838,3161.0
22099,St. Martin Parish,96.07671851544343,12.455248083164221,37.171343052066156,3120.5
22101,St. Mary Parish,89.96808836571415,18.967041829652835,24.122079414774326,2153.0
22103,St. Tammany Parish,158.81787010019096,51.273423009487075,21.00125491644043,25688.0
22105,Tangipahoa Parish,158.07659636745862,52.28978623944794,24.89153796869994,9069.0
22107,Tensas Parish,10.592508410788305,6.247835881568735,73.25691592007536,306.5
22109,Terrebonne Parish,148.5646389244,44.53944927904655,26.911533592459637,6387.75
22111,Union Parish,64.51770156992777,9.399124286542115,227.76138878985796,555.25
22113,Vermilion Parish,92.26509673993233,25.009533924373972,42.10942540556657,3839.75
22115,Vernon Parish,81.81445580902081,15.747611221572608,43.789715822767675,3090.5
22117,Washington Parish,34.224323712801734,18.39431109046857,221.1549927625933,886.5
22119,Webster Parish,99.24793939964502,19.230568478009005,49.22954648738177,2377.75
22121,West Baton Rouge Parish,127.27161306381782,53.55053163604856,18.51529532017169,1323.25
22123,West Carroll Parish,39.152961230091265,7.908915134661261,116.5851500417914,313.0
22125,West Feliciana Parish,86.09811410041425,71.90521350136775,211.58016226905755,443.5
22127,Winn Parish,121.7642631328325,23.560235626840353,72.00057627378598,349.75
