GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
30001,Beaverhead County,105.41224906007518,11.949624321394209,48.38550328349174,355.25
30003,Big Horn County,31.534345126196957,10.913516536134251,56.90692360010926,244.75
30005,Blaine County,56.70514390713622,32.44913549288534,39.242436627251315,103.5
30007,Broadwater County,83.53551994545762,12.996652196117832,73.81845415452366,341.75
30009,Carbon County,59.68739372842337,8.711292158939603,59.494769863633074,670.5
30011,Carter County,63.94741770540456,51.66876914245548,94.06960585233782,41.75
30013,Cascade County,120.77797447397383,16.968202866257,22.66797732962559,3749.0
30015,Chouteau County,51.65294462831685,23.23076165082115,33.790815406687955,99.25
30017,Custer County,126.0242057957089,42.89021743766691,67.97666404198998,157.0
30019,Daniels County,114.27063563400222,119.36600429334081,10.397186648596374,46.25
30021,Dawson County,199.4203330238111,77.128662402537,53.62436248492991,192.75
30023,Deer Lodge County,111.64010649393022,13.17764056318159,56.761410843616325,930.75
30025,Fallon County,116.93489154364154,167.4752976015213,80.20385791109476,33.75
30027,Fergus County,120.68916738533301,43.04901545144324,71.67957736758879,262.5
30029,Flathead County,93.30490628849694,14.514071468681712,41.4081589101393,8014.75
30031,Gallatin County,114.81308312181244,25.286249998265674,35.09582292344427,7052.25
30033,Garfield County,99.7867387797619,110.02351705357142,60.83184523809524,16.75
30035,Glacier County,85.3326082204905,20.808984204387762,56.18097463432159,433.75
30037,Golden Valley County,191.78858431372547,204.73266274509805,46.71764705882353,7.666666666666667
30039,Granite County,49.02977127762637,7.376102411046734,87.51265051514753,295.5
30041,Hill County,135.64241643440286,18.389318321938905,28.4305723059787,384.5
30043,Jefferson County,58.8112086643615,15.314579872767833,89.06289246101798,666.75
30045,Judith Basin County,39.348152782887354,23.909030613858445,71.24715612051273,58.75
30047,Lake County,82.01424790359378,13.468556572928698,42.35689887140241,2315.25
30049,Lewis and Clark County,103.79173386757864,17.068978212108703,43.193565859879094,2820.5
30051,Liberty County,43.366805287387265,34.80267143626329,50.480048458742765,21.0
30053,Lincoln County,91.42186007490567,39.85053218816266,55.17805284933118,1229.0
30055,McCone County,111.55564484126985,243.52789865689866,76.42826617826617,13.5
30057,Madison County,53.903177463963026,29.175829592254516,55.41632912553764,450.5
30059,Meagher County,34.78180428185878,21.214535724512125,63.13701511554927,85.5
30061,Mineral County,31.84926090412391,5.271181085599533,69.7272952570739,232.25
30063,Missoula County,118.56324409623946,15.204278844533112,31.923419139259632,6430.0
30065,Musselshell County,100.05223746689626,50.87125048467091,76.93356058508675,136.5
30067,Park County,72.36767102484818,11.916275564557264,61.50783981746346,1627.0
30069,Petroleum County,104.95956453576123,38.223044744145284,53.15997614294756,28.0
30071,Phillips County,43.57778334337812,31.600323531476164,15.224341508058156,145.75
30073,Pondera County,48.355480706237145,12.75770262784604,35.568988448348335,78.5
30075,Powder River County,36.26790939542484,7.867925536881419,47.2077264239029,39.0
30077,Powell County,76.20866190996063,12.2816613087384,65.61423215565432,312.0
30079,Prairie County,109.98218636363637,188.90140909090906,41.25151515151515,7.0
30081,Ravalli County,59.75622116841801,13.234991373529558,54.73435705581147,3205.0
30083,Richland County,124.24226279915315,45.26374897629486,79.47060454295823,315.75
30085,Roosevelt County,95.18008761904761,81.95539633089133,35.95848595848596,112.0
30087,Rosebud County,46.00370148878395,13.825558109559125,56.51292639262659,253.25
30089,Sanders County,41.91563039135749,15.074976434751996,49.21154632878836,1018.25
30091,Sheridan County,76.3629865177727,60.063453876380166,26.434770320605267,171.5
30093,Silver Bow County,112.4009804700977,11.893700952097465,37.285055719572824,1379.75
30095,Stillwater County,87.15003853508445,14.867301473247803,40.7093626699254,241.0
30097,Sweet Grass County,81.89717385808926,22.85080581415621,47.81732740585774,185.25
30099,Teton County,77.9431799352528,55.89251517771043,25.29142099462736,65.0
30101,Toole County,34.32575848965849,19.389855964405964,26.66404521404521,32.5
30103,Treasure County,26.552677777777777,9.025909490740741,169.66435185185185,20.25
30105,Valley County,140.05917317266344,131.61475274910975,10.418144301688208,376.0
30107,Wheatland County,59.238811705675474,43.60351779044385,73.45595440213437,26.25
30109,Wibaux County,53.25186388888889,20.193525,244.63055555555556,6.75
30111,Yellowstone County,126.84003173149165,16.94753274408417,20.62061195846525,6440.0
