GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,year
32001,Churchill County,76.46315840726831,14.491670649887672,25.47152313534415,686.0,2019
32003,Clark County,120.78681193771152,28.82500815535382,15.819278558562736,176884.0,2019
32005,Douglas County,68.45926769748596,11.535514609599286,24.73584753191309,4043.5,2019
32007,Elko County,16.263534491018596,5.376124889092902,33.49356627713193,2234.25,2019
32009,Esmeralda County,12.03149837662338,5.669867762445887,35.64752435064935,25.25,2019
32011,Eureka County,13.623184523809524,8.368882440476192,47.595238095238095,22.0,2019
32013,Humboldt County,15.241559950118685,4.11001743558241,34.410665232278504,935.25,2019
32015,Lander County,9.546115793815794,1.9047454399847257,35.50794817580532,125.0,2019
32017,Lincoln County,17.293398024920027,8.229710417285027,70.9178666766408,231.5,2019
32019,Lyon County,100.33473694339445,30.193210178513706,32.74290968045835,2741.0,2019
32021,Mineral County,98.20473168105146,11.39966055332475,38.53319445123533,124.5,2019
32023,Nye County,28.862375901347384,13.723466826606352,56.03522562779198,1025.5,2019
32027,Pershing County,11.176805555824716,3.343457343338562,36.24370404634288,293.0,2019
32029,Storey County,42.39991293208959,12.925358428546168,94.95121349562886,301.5,2019
32031,Washoe County,110.19399732127698,36.70400366545063,22.092993945525556,31328.5,2019
32033,White Pine County,9.898630692078411,4.482810834562237,56.71933627314486,152.5,2019
32510,Carson City,83.41705620012955,16.482406697345702,30.241831482017787,2514.0,2019
32001,Churchill County,114.40008479199074,22.109022602780332,26.14161438414304,1079.25,2020
32003,Clark County,129.9486421596585,30.528828622796706,14.138588672670798,232005.75,2020
32005,Douglas County,98.7945875105208,12.589852389991462,20.666398749465596,5427.0,2020
32007,Elko County,26.6166538375123,7.652528642220962,33.694161697610056,3872.5,2020
32009,Esmeralda County,14.29377380952381,9.425844787157288,27.0857683982684,19.25,2020
32011,Eureka County,19.258482860436665,12.050237295313382,40.49452992659515,39.25,2020
32013,Humboldt County,22.908953233211427,5.506351270952894,39.62961522827149,1259.0,2020
32015,Lander County,11.000058824821483,3.2170985612015337,41.00926876478417,84.5,2020
32017,Lincoln County,23.80461107324489,10.30857957155876,69.73005844766692,306.0,2020
32019,Lyon County,139.36258464913672,31.81660294550735,31.28902009200455,3467.25,2020
32021,Mineral County,115.3703394924078,11.952313116115684,35.31884625059821,160.5,2020
32023,Nye County,63.8222010874114,17.21622042058041,45.89125111278292,1806.25,2020
32027,Pershing County,10.37722355082111,5.897184860790413,42.62126459587995,400.5,2020
32029,Storey County,101.4526676754028,20.632254041957587,50.79626230978914,385.5,2020
32031,Washoe County,154.7453665642837,40.84254361286938,17.596165700461103,38448.0,2020
32033,White Pine County,14.732863750960693,9.048815007067962,51.95555040898111,197.5,2020
32510,Carson City,125.57927072029636,19.849869010912947,18.59990619129304,3398.75,2020
32001,Churchill County,140.47443241985346,21.359417496293943,25.46202969565765,636.25,2021
32003,Clark County,194.979084532807,44.44183216428456,13.205139878973837,167513.75,2021
32005,Douglas County,119.25742536370733,12.92380401290692,17.730686054247215,3732.25,2021
32007,Elko County,54.853734622205394,15.112463191990676,35.87346104612827,2738.25,2021
32009,Esmeralda County,25.684951355311355,8.480992380952381,42.12205128205128,16.0,2021
32011,Eureka County,25.73609962933428,17.952233836907084,30.767447870518048,35.25,2021
32013,Humboldt County,75.86268461050841,12.700355684572038,43.6944039224391,900.25,2021
32015,Lander County,36.56328221175354,10.511518041899755,40.05666115525274,194.75,2021
32017,Lincoln County,40.85600398621468,21.38562974705311,67.65832004633734,192.25,2021
32019,Lyon County,146.68063656238763,28.79963545767984,31.608519211614244,3316.0,2021
32021,Mineral County,81.9506365076736,10.024414593543032,43.27158443549667,162.75,2021
32023,Nye County,94.38489627622414,15.818211998899828,43.42814946432297,2543.0,2021
32027,Pershing County,26.88753171529156,8.884776500110416,38.44420762970723,319.75,2021
32029,Storey County,78.0861540896158,15.85501332528818,42.90559022071295,336.25,2021
32031,Washoe County,190.8251373253527,57.30545222142655,16.51578228374095,27882.25,2021
32033,White Pine County,38.45249444976268,12.288965330297804,58.50642836782896,229.5,2021
32510,Carson City,143.47782354390756,22.646189501657823,18.518145569816816,2585.0,2021
32001,Churchill County,176.3290922347824,22.138242113509516,29.926298788848257,860.5,2022
32003,Clark County,230.89399480913332,56.49576684639832,14.195344108047324,163159.25,2022
32005,Douglas County,155.0205246147964,14.756679745564586,19.76818715851359,4454.5,2022
32007,Elko County,146.55066110649634,95.90535874258946,40.51642384561468,4014.75,2022
32009,Esmeralda County,49.1643360403863,11.298739687591455,122.37961662276852,44.0,2022
32011,Eureka County,75.97636890307002,17.189525124750126,63.51203947237888,64.25,2022
32013,Humboldt County,79.6040808071611,11.38358494512286,52.68108907010765,1147.5,2022
32015,Lander County,65.39667212886263,14.450757853651002,46.0293651146463,471.75,2022
32017,Lincoln County,63.24581537325311,24.337941322631067,52.34044281404043,351.0,2022
32019,Lyon County,171.4907667429377,29.57544036346718,31.19557536289693,4410.75,2022
32021,Mineral County,160.07102983386204,13.970365568068548,42.432251777723245,169.0,2022
32023,Nye County,121.83022022773947,16.8540214196699,51.65664464080575,2825.5,2022
32027,Pershing County,69.98435891267795,11.50427002527773,54.32473985293377,589.75,2022
32029,Storey County,80.72764178657532,17.06359853918797,38.544232413880685,829.5,2022
32031,Washoe County,236.9809210252276,73.27772706275907,15.982849537639776,33265.25,2022
32033,White Pine County,56.27193311973605,17.319146911003656,84.67731513009542,440.75,2022
32510,Carson City,192.6424059478151,21.57989800994174,19.52179791689461,3123.75,2022
32001,Churchill County,234.30769675929488,78.95511028744522,24.12622715603485,921.75,2023
32003,Clark County,272.5591634968817,81.26566377283545,13.539890887663564,149878.75,2023
32005,Douglas County,212.14021980779492,33.96707487598548,22.037726555969567,4193.75,2023
32007,Elko County,257.7278622857861,187.77157986357477,31.593948227824843,3143.5,2023
32009,Esmeralda County,57.00066195983912,10.029377077775084,112.0417374080362,45.5,2023
32011,Eureka County,57.13937926768769,15.20642009957244,64.00647006688531,133.25,2023
32013,Humboldt County,112.42424156547284,19.567836496743524,52.17670715313852,964.5,2023
32015,Lander County,64.28716600362955,22.01307310646621,73.97633139743087,263.5,2023
32017,Lincoln County,61.03365330421265,25.03124404257624,75.47443166199636,257.25,2023
32019,Lyon County,217.9960836403025,53.54334183241131,27.760721670855403,3616.0,2023
32021,Mineral County,156.45207131731036,48.55770731617014,58.49624193245964,132.5,2023
32023,Nye County,166.48367604290004,18.18774562980001,46.01444811422319,2599.5,2023
32027,Pershing County,51.72264075916249,12.352772821894174,57.40238316316954,376.25,2023
32029,Storey County,118.84618387284468,29.584002664690665,41.31337908348458,579.0,2023
32031,Washoe County,272.68506280633403,97.6117972526039,18.0940144849246,32165.75,2023
32033,White Pine County,57.42817811801572,13.13518622580214,92.80938340593684,298.0,2023
32510,Carson City,252.3169174814525,57.27306763482029,18.5040334241095,3354.75,2023
