GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,WOODARD NATION NAME
1001,Autauga,24.81923407,7.509112237,59.03673946,306.5,Alabama,2019,59759,535,66444,123.1,DEEP SOUTH
1003,Baldwin,26.064738,7.75314899,74.12777951,1864,Alabama,2019,246435,7297,65658,121.6,DEEP SOUTH
1005,Barbour,12.15457133,4.022005101,67.54092776,120,Alabama,2019,24706,247,38649,71.6,DEEP SOUTH
1007,Bibb,27.9648822,7.945448186,51.88747332,62,Alabama,2019,22005,-299,48454,89.7,DEEP SOUTH
1009,Blount,24.90388222,7.987017245,52.8001878,360.25,Alabama,2019,59512,606,56894,105.4,GREATER APPALACHIA
1011,Bullock,32.10688788,12.83351061,35.24772727,7.25,Alabama,2019,10202,-38,32027,59.3,DEEP SOUTH
1013,Butler,18.9977771,5.219026353,68.83456851,98.25,Alabama,2019,18650,-105,39442,73.1,DEEP SOUTH
1015,Calhoun,25.18782809,7.90624644,55.99100754,487.5,Alabama,2019,115788,672,48166,89.2,DEEP SOUTH
1017,Chambers,24.30087822,9.50471057,55.11466051,97.75,Alabama,2019,34088,-155,45447,84.2,DEEP SOUTH
1019,Cherokee,21.31494264,7.278169228,60.39502087,134,Alabama,2019,25302,492,46365,85.9,GREATER APPALACHIA
1021,Chilton,26.25917372,9.253405838,64.59069436,229.75,Alabama,2019,45884,695,55142,102.1,DEEP SOUTH
1023,Choctaw,19.82252467,6.74693851,60.1733522,43.5,Alabama,2019,12439,-41,40601,75.2,DEEP SOUTH
1025,Clarke,18.67941186,5.786014038,69.6559108,55.5,Alabama,2019,22515,-56,45447,84.2,DEEP SOUTH
1027,Clay,27.36222452,5.147841727,81.38085944,62,Alabama,2019,14198,101,47036,87.1,DEEP SOUTH
1029,Cleburne,19.18636162,7.091304346,68.23549498,93,Alabama,2019,15346,268,49769,92.2,DEEP SOUTH
1031,Coffee,18.67560946,6.511630877,64.8578902,252.5,Alabama,2019,54805,656,55052,102,DEEP SOUTH
1033,Colbert,30.16700028,8.656483462,59.86966799,254,Alabama,2019,58033,618,53341,98.8,GREATER APPALACHIA
1035,Conecuh,17.91849235,5.197213521,93.93383898,69,Alabama,2019,11206,-4,35621,66,DEEP SOUTH
1037,Coosa,9.992105039,3.183985771,135.0557423,80,Alabama,2019,10166,-111,45954,85.1,DEEP SOUTH
1039,Covington,18.8801284,6.138405206,66.24208903,159,Alabama,2019,37602,338,44188,81.8,DEEP SOUTH
1041,Crenshaw,18.79430653,5.389606471,62.70274909,60,Alabama,2019,13025,70,38037,70.5,DEEP SOUTH
1043,Cullman,25.1845142,9.244582185,59.0137971,729.25,Alabama,2019,90665,1287,55036,101.9,GREATER APPALACHIA
1045,Dale,19.52618428,6.48433903,66.13715838,340.5,Alabama,2019,49544,160,50086,92.8,DEEP SOUTH
1047,Dallas,32.7902493,8.018647165,66.79706771,215.75,Alabama,2019,36767,-611,33159,61.4,DEEP SOUTH
1049,DeKalb,21.57660884,7.378231605,61.006678,236.25,Alabama,2019,71998,462,45062,83.5,GREATER APPALACHIA
1051,Elmore,30.29942382,9.232229225,54.30516927,354.25,Alabama,2019,89563,954,63147,117,DEEP SOUTH
1053,Escambia,27.85135381,8.532493675,75.71190854,214,Alabama,2019,36666,210,40506,75,DEEP SOUTH
