GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
45001,Abbeville County,228.29166030179445,182.86806685557775,19.37555030643125,557.0
45003,Aiken County,274.9084589007835,153.53883508549836,25.481595255927232,9641.75
45005,Allendale County,158.19868928823956,45.704589183616086,51.77529557101286,247.0
45007,Anderson County,265.55986665660134,63.19501406899658,24.881972032155822,10357.5
45009,Bamberg County,234.70353826555268,71.77533828891168,38.576038123640934,496.75
45011,Barnwell County,186.88822331616058,76.95006356457486,40.53469754964918,501.75
45013,Beaufort County,210.91302203299645,37.36639883090648,25.591802406181298,15984.25
45015,Berkeley County,238.35131523208238,140.13421887944477,21.02804729422447,12566.0
45017,Calhoun County,194.16345082774436,165.95075910106675,16.959610032159237,648.5
45019,Charleston County,247.32307402345202,88.04697041975669,39.009937345094414,22471.25
45021,Cherokee County,255.63718813369286,49.99430849211336,31.403480221890998,2328.0
45023,Chester County,136.9441890949353,51.82299025953742,24.183595076678408,1411.25
45025,Chesterfield County,232.2748140794941,156.51078490781214,16.331473319546514,1315.75
45027,Clarendon County,157.56799120313403,109.17620222514996,15.947452247130382,1026.0
45029,Colleton County,144.57669404148467,90.8091486217179,22.671735939253885,1493.5
45031,Darlington County,251.37290239012697,26.74438248805727,31.378650538893996,2085.0
45033,Dillon County,247.21704957258356,41.21742732516763,33.913339968923516,909.25
45035,Dorchester County,270.82917776673463,122.04558824478076,22.125559858454704,8370.25
45037,Edgefield County,295.80106033686076,189.16865252527293,21.337601263986095,1677.75
45039,Fairfield County,177.802609250275,50.510503496686624,29.45146702025729,959.75
45041,Florence County,257.82032959240644,69.98857189132208,21.57529472135402,5183.75
45043,Georgetown County,258.03525282019274,60.84209065946577,20.199380826702235,4304.25
45045,Greenville County,270.5661933135833,76.2255584508942,24.449742608377683,29918.25
45047,Greenwood County,223.42666739325313,162.7588371365018,19.921297652114546,2426.5
45049,Hampton County,307.87200008940346,237.3170973744395,45.76050306634096,881.25
45051,Horry County,268.55246666541575,118.54432721288443,14.364203495765546,29969.25
45053,Jasper County,239.0662892780525,78.930232475944,22.967978223168352,2774.25
45055,Kershaw County,233.5471322134328,99.91918003382497,20.261147902512867,3071.25
45057,Lancaster County,256.77153261180285,137.6341169737629,13.02476551507962,8565.75
45059,Laurens County,200.83150049449725,53.05382716055002,28.793552501006616,2075.25
45061,Lee County,109.99069087300595,49.402925720462044,33.008810196832385,292.25
45063,Lexington County,282.9147433745128,127.20610181104053,18.04561873761048,18660.75
45065,McCormick County,212.17484400203088,214.46735044862908,11.096269888505475,213.5
45067,Marion County,305.03265478598564,74.52505396981935,28.12148197049392,777.25
45069,Marlboro County,182.60329711205262,136.61256538896015,17.266456106264506,876.5
45071,Newberry County,263.905370882959,211.0063318872207,17.631135415067263,1705.0
45073,Oconee County,231.2503834827161,114.18391785915475,25.09646649880184,7444.5
45075,Orangeburg County,208.71742757316534,107.94893944431941,32.62592737152891,1995.25
45077,Pickens County,243.80746484472468,89.05312600941606,23.738106334630153,7635.0
45079,Richland County,283.5185981639759,103.77609470523586,20.927789809778503,18053.25
45081,Saluda County,241.84327570767812,194.2803734268999,34.947021285669884,703.5
45083,Spartanburg County,256.02264880496705,74.50580850131483,28.22861900393268,16824.0
45085,Sumter County,233.15286185196396,88.31992640860852,17.117259015702984,3369.5
45087,Union County,213.5931363848781,28.46911864686208,59.099219135671355,766.0
45089,Williamsburg County,195.5088700415891,101.09757985898148,26.293526946038504,674.25
45091,York County,263.48568961016525,106.83945522290502,13.04020219465265,17668.0
