GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
55001,Adams County,141.99948373436987,83.43835746401363,29.1294899279891,1169.5
55003,Ashland County,170.26223304778335,47.43787810383155,34.887413034803316,582.25
55005,Barron County,162.32436909635257,81.30344398876404,22.084772760963606,1989.25
55007,Bayfield County,141.00120032422245,100.10335039212603,23.23552546717153,1348.0
55009,Brown County,241.68494777291906,74.66875087444467,23.317180055973907,14658.25
55011,Buffalo County,90.54195778398494,18.073267161110103,53.55363729786678,226.5
55013,Burnett County,64.68731282828743,7.254603057690878,86.72670070767194,663.25
55015,Calumet County,232.69090596281285,74.84997175144267,23.897512327757354,3149.0
55017,Chippewa County,244.62294159882197,46.723664548280794,19.258958937396535,2396.5
55019,Clark County,108.75080567939787,11.021294805660911,114.42917085161024,742.0
55021,Columbia County,179.5339005515401,23.576763046568367,34.72363530040995,2478.75
55023,Crawford County,148.32370589413435,26.430987555798307,48.709221750071166,502.75
55025,Dane County,243.85362047035136,97.08141660349563,19.305480989990087,29127.0
55027,Dodge County,183.3906558820387,16.09214028536941,57.92741419994325,2634.5
55029,Door County,98.44393761168736,13.522175009010606,64.50393609342589,4400.75
55031,Douglas County,175.73053495341654,19.048222425282788,36.10708519686825,2123.0
55033,Dunn County,193.18899284735005,82.52718457918299,24.193196510231758,1708.75
55035,Eau Claire County,232.48471440592334,44.64219417024597,19.126477103974693,4575.5
55037,Florence County,104.08340575492379,9.832068698332893,49.053665719703915,286.25
55039,Fond du Lac County,225.52027000101626,46.429774087605665,28.92667872692165,3930.75
55041,Forest County,69.83496788828907,16.52192312681121,86.26294136876605,665.0
55043,Grant County,193.05771327372463,120.94700143847415,36.31671901736276,1568.0
55045,Green County,152.6184843359419,50.347890713844556,32.99667489246818,1476.0
55047,Green Lake County,194.5827427703082,17.683713616897673,34.857450265740724,912.25
55049,Iowa County,163.14873918560727,42.828928303690354,47.43389386183713,995.25
55051,Iron County,96.53861651139098,11.37175813540905,59.755218545417215,460.0
55053,Jackson County,90.87244759997557,8.94374805653001,69.7532870021032,535.25
55055,Jefferson County,207.4068473140244,28.0975664715656,36.32263803697367,3298.0
55057,Juneau County,110.76417084082276,43.81742267271925,55.18687469909439,918.75
55059,Kenosha County,254.01343096787608,28.805323269209808,19.432773798922938,7015.75
55061,Kewaunee County,94.14971491617248,35.18249840516619,52.88495398849729,1024.5
55063,La Crosse County,230.61648146737093,53.18881408534658,26.006378275646583,4994.5
55065,Lafayette County,135.0742108496779,24.63599914788211,62.2422173514813,369.5
55067,Langlade County,123.06464719020933,22.77871257313569,52.742717568357605,840.5
55069,Lincoln County,140.42788431666565,22.431858576932786,56.511222430900105,1310.0
55071,Manitowoc County,216.39034338385233,15.993475884743603,35.39337587449401,2674.0
55073,Marathon County,188.99500619147858,66.57446986435549,33.467565507720366,6757.75
55075,Marinette County,126.81949751793378,16.01244173331672,76.39640192768174,2375.75
55077,Marquette County,134.49558598506917,51.02384549576743,29.36927146177513,912.25
55078,Menominee County,202.39131839006583,13.265600628284142,35.77088101038267,175.5
55079,Milwaukee County,274.81364411275644,94.95620958960336,15.877489756900133,34301.75
55081,Monroe County,173.11978152281694,42.25315420953967,42.63706061048519,1498.25
55083,Oconto County,120.08851647053008,18.10029716891227,56.31204730689308,2431.5
55085,Oneida County,109.26930279083328,12.631274230632757,45.374605219994606,4000.25
55087,Outagamie County,240.56566816175203,80.99681112284709,24.15810125883239,9322.25
55089,Ozaukee County,226.96145033944714,42.40972440184384,19.18230397287674,6494.25
55091,Pepin County,38.19329039031123,12.931260988020753,37.17979746681707,244.5
55093,Pierce County,195.3310417388489,86.71610066902755,22.171307364714057,2466.0
55095,Polk County,123.36942605742703,39.19245363649518,51.409284227761646,982.0
55097,Portage County,209.9656366344082,54.34877914262865,35.86198525550428,2264.25
55099,Price County,158.30656796856607,64.7142353468539,48.64397201152881,584.75
55101,Racine County,252.14628536160663,49.617032030465374,17.461013929920355,8472.5
55103,Richland County,212.57812479331443,16.080117174836445,80.13648508446441,222.25
55105,Rock County,252.66965020310937,59.320384773181466,31.627275357310367,6956.0
55107,Rusk County,119.84111963544683,9.963930192765023,64.72835093084743,338.0
55109,St. Croix County,202.83498530447287,86.48217074621614,27.508442837982297,2989.0
55111,Sauk County,253.83313930881786,140.43452014771503,19.814568905672836,2923.75
55113,Sawyer County,121.20151624074265,40.84815034427193,47.0350543006668,1479.0
55115,Shawano County,143.25322458896403,43.46740789347578,36.50067940081483,1895.5
55117,Sheboygan County,206.5896538969791,30.60175852724304,32.791816965834286,5386.0
55119,Taylor County,88.00171088347523,28.479575010794626,53.39852440431683,827.0
55121,Trempealeau County,67.51875517640032,11.01903126580454,91.01844806591322,237.75
55123,Vernon County,197.06045335010606,30.358689413760484,45.85612175070809,142.75
55125,Vilas County,128.7373121089292,40.072396522461226,49.464873797611816,4080.0
55127,Walworth County,228.70962274812712,66.97273585808406,26.328126690822945,5805.0
55129,Washburn County,90.70023111329286,26.917903449362914,64.78717602089762,1385.25
55131,Washington County,225.00124759625433,29.861265034337965,26.700853048687488,7054.25
55133,Waukesha County,244.77658184193837,48.004999101365385,19.465354195479815,27321.0
55135,Waupaca County,158.33623202826465,21.58795091362155,46.38700773206439,1832.5
55137,Waushara County,110.27371249257658,15.672887810248717,63.74780197806322,1603.5
55139,Winnebago County,257.26263428868117,76.69316375654978,22.91251453681784,8329.75
55141,Wood County,167.05978741628815,61.59783378779011,27.78292350173694,2990.5
