geoid,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,WOODARD NATION NAME,Less_than_a_high_school_diploma_2017_21,High_school_diploma_only_2017_21,Some_college_or_associate_degree_2017_21,Bachelor_degree_or_higher_2017_21,Percent_of_adults_with_less_than_a_high_school_diploma_2017_21,Percent_of_adults_with_a_high_school_diploma_only_2017_21,Percent_of_adults_completing_some_college_or_associate_degree_2017_21,Percent_of_adults_with_a_bachelor_degree_or_higher_2017_21
1001,Autauga,104.2403178,31.65029806,37.29825025,3308.5,Alabama,2019,59759,535,66444,123.1,DEEP SOUTH,4126,12977,11367,11144,10.41550966829909,32.75862068965517,28.69440096935427,28.13146867269147
1003,Baldwin,86.41065739,42.76384692,57.09098087,17827.75,Alabama,2019,246435,7297,65658,121.6,DEEP SOUTH,14555,44342,50518,52562,8.985843669162906,27.37549158213821,31.1883786,32.45028615173759
1005,Barbour,68.03614566,11.19987612,105.3080917,319.75,Alabama,2019,24706,247,38649,71.6,DEEP SOUTH,4378,6600,5010,2007,24.32898027229786,36.67685468185607,27.84106696304529,11.15309808280078
1007,Bibb,72.6546042,61.06769008,124.7740385,444,Alabama,2019,22005,-299,48454,89.7,DEEP SOUTH,3125,7052,3967,1913,19.46191692096905,43.9185402,24.70573581615495,11.91380706234041
1009,Blount,31.66699674,10.42421081,60.44427974,4381,Alabama,2019,59512,606,56894,105.4,GREATER APPALACHIA,6650,14284,13673,6061,16.35192288777417,35.12343858,33.62102881872725,14.90360971771417
1011,Bullock,18.25254458,8.684971894,57.8435025,126.25,Alabama,2019,10202,-38,32027,59.3,DEEP SOUTH,1540,2841,1692,804,22.39348553148175,41.31161844,24.60375163588774,11.69114439435801
1013,Butler,33.84932879,9.318088174,71.88705505,402.5,Alabama,2019,18650,-105,39442,73.1,DEEP SOUTH,1932,6050,3523,1879,14.43514644351464,45.20322773460849,26.32247459653317,14.03915122534369
1015,Calhoun,99.22697201,21.15722914,46.4220035,4122.5,Alabama,2019,115788,672,48166,89.2,DEEP SOUTH,11867,27783,24939,15674,14.78514383962723,34.61495334089182,31.07160210806972,19.52830071141124
1017,Chambers,91.19013711,11.6424041,57.57789822,701.5,Alabama,2019,34088,-155,45447,84.2,DEEP SOUTH,4275,8996,8167,3390,17.21846302561624,36.23328500080554,32.89431287256323,13.65393910101498
1019,Cherokee,27.16829458,6.592479844,114.4609973,945.5,Alabama,2019,25302,492,46365,85.9,GREATER APPALACHIA,3720,6809,5543,2364,20.17791277934476,36.93317422434367,30.06617487524409,12.82273812106748
1021,Chilton,18.89284221,3.904471158,112.6616904,1206.25,Alabama,2019,45884,695,55142,102.1,DEEP SOUTH,5569,13113,7719,4133,18.23868474487457,42.94556887404205,25.28001572018078,13.53573066
1023,Choctaw,7.3590933,2.276183133,138.3208949,428.5,Alabama,2019,12439,-41,40601,75.2,DEEP SOUTH,1802,3477,2915,1087,19.41601120568904,37.46363538411808,31.40825342096757,11.71209999
1025,Clarke,46.28072542,8.650865202,183.069385,730.5,Alabama,2019,22515,-56,45447,84.2,DEEP SOUTH,2892,6740,4378,2259,17.77613867,41.42848361915299,26.91007437457742,13.88530334
1027,Clay,38.0925254,5.148329624,141.8932529,757,Alabama,2019,14198,101,47036,87.1,DEEP SOUTH,1694,3813,3128,1334,16.99267729962885,38.24857056876317,31.37726953556024,13.38148259604775
1029,Cleburne,15.08419692,6.81141761,131.938119,531,Alabama,2019,15346,268,49769,92.2,DEEP SOUTH,1789,3958,3082,1730,16.94289231934842,37.48461028506487,29.18837011080595,16.38412728478076
1031,Coffee,69.72633103,15.45252014,42.24137996,2393.75,Alabama,2019,54805,656,55052,102,DEEP SOUTH,4934,10108,12919,8202,13.64377955368747,27.95122086110113,35.72435915161905,22.68064043359234
1033,Colbert,76.11254042,29.75924552,45.16775759,2787,Alabama,2019,58033,618,53341,98.8,GREATER APPALACHIA,5333,15244,12600,7213,13.20376330774944,37.74201535033424,31.19584055459272,17.85838078732359
1035,Conecuh,71.91314461,9.005233914,122.914617,390.5,Alabama,2019,11206,-4,35621,66,DEEP SOUTH,1077,4200,2309,1079,12.42931332948644,48.47085978072706,26.64743219849971,12.45239469128679
1037,Coosa,61.1117619,7.672358979,131.2682582,235.25,Alabama,2019,10166,-111,45954,85.1,DEEP SOUTH,1217,3410,2623,915,14.90508266993264,41.76362523,32.12492345376607,11.20636864666258
1039,Covington,64.99334841,13.82160569,62.40763549,1286.75,Alabama,2019,37602,338,44188,81.8,DEEP SOUTH,3915,10037,8293,4176,14.81775860111275,37.98872109306991,31.38791113129707,15.80560917452027
1041,Crenshaw,102.0410123,57.0030136,50.7792533,485.5,Alabama,2019,13025,70,38037,70.5,DEEP SOUTH,1742,3882,2133,1524,18.76952914556621,41.82738928994721,22.98243723736666,16.42064432711992
1043,Cullman,75.44229037,13.56279974,59.42095092,4498.5,Alabama,2019,90665,1287,55036,101.9,GREATER APPALACHIA,9560,19624,21400,9979,15.78521539553853,32.40262206297574,35.33510559252348,16.47705694896224
1045,Dale,76.89113046,27.1715185,53.04541212,1981.25,Alabama,2019,49544,160,50086,92.8,DEEP SOUTH,5093,10376,11859,6278,15.15503183955246,30.87543891,35.28834136761292,18.68118788311611
1047,Dallas,39.36151328,7.083954686,70.35113641,779.5,Alabama,2019,36767,-611,33159,61.4,DEEP SOUTH,3709,10065,8304,4241,14.09248071735248,38.24233443519891,31.55135074,16.11383411223831
1049,DeKalb,76.4340615,57.62618054,32.12982613,3365.5,Alabama,2019,71998,462,45062,83.5,GREATER APPALACHIA,10522,16172,14623,6969,21.79099531955432,33.49210951414489,30.28414033053059,14.43275484
1051,Elmore,86.32832102,25.18022347,39.95943352,4279.75,Alabama,2019,89563,954,63147,117,DEEP SOUTH,7459,19351,18732,14830,12.35506526204201,32.05293844828729,31.02762870204731,24.56436759
1053,Escambia,57.32604673,13.69522828,127.0675743,1039,Alabama,2019,36666,210,40506,75,DEEP SOUTH,4697,11249,6543,3227,18.26489345154767,43.74319489811791,25.44330377974802,12.54860787058641
1055,Etowah,100.0878093,26.1718234,36.01582824,4041,Alabama,2019,103088,581,46308,85.8,GREATER APPALACHIA,10014,24491,24986,13067,13.80137269494749,33.75368670580777,34.43589955621709,18.00904104302765
1057,Fayette,31.51548253,14.8362633,125.7493361,644.25,Alabama,2019,16118,84,46122,85.4,GREATER APPALACHIA,1951,4714,3472,1361,16.96816837710906,40.99843451034963,30.19655592276917,11.83684118977214
1059,Franklin,62.15750165,8.833264401,59.6436043,1270.75,Alabama,2019,31932,25,45440,84.2,GREATER APPALACHIA,4381,9016,4922,3050,20.50166128503907,42.19196031634611,23.03336609,14.27301230754832
1061,Geneva,29.68293137,9.51890383,142.1760479,364.25,Alabama,2019,26783,336,43206,80,DEEP SOUTH,3294,6879,6103,2538,17.50823854576379,36.56319761879451,32.43860955,13.48995428935899
1063,Greene,12.98988734,3.820298662,204.8352858,68.75,Alabama,2019,7422,-113,30225,56,DEEP SOUTH,861,2173,1797,703,15.55836646187206,39.26635345,32.47199132634622,12.70328876039031
1065,Hale,46.10650104,8.059720343,157.05169,190.75,Alabama,2019,14595,-70,41995,77.8,DEEP SOUTH,1890,3943,2664,1593,18.73141724479683,39.07829534,26.40237859,15.78790882061447
1067,Henry,41.17273653,5.952276884,99.99823692,636,Alabama,2019,17655,334,56389,104.4,DEEP SOUTH,2280,3931,3358,2633,18.68546139977053,32.21603015899033,27.52007867562695,21.57842977
1069,Houston,79.39318891,13.54228053,40.59007003,4654.5,Alabama,2019,108079,832,48701,90.2,DEEP SOUTH,9006,23633,24570,16350,12.24323332291086,32.12795171,33.40175913212523,22.22705583273291
1071,Jackson,78.43113268,55.76661848,24.82771978,2761.5,Alabama,2019,52891,600,46998,87,GREATER APPALACHIA,6627,14431,10579,6072,17.57405393937787,38.26937866291867,28.05431064,16.10225675568167
1073,Jefferson,113.3277476,38.98451507,23.96382596,46985,Alabama,2019,665409,-3791,55210,102.3,DEEP SOUTH,41479,121180,137209,159041,9.038611141,26.40610665731115,29.89895600217036,34.65632619974766
1075,Lamar,31.54649759,5.686617299,102.8151539,477.75,Alabama,2019,13705,51,44265,82,GREATER APPALACHIA,1745,4151,3062,990,17.54121431443506,41.72698029754724,30.78005629272216,9.951749095295536
1077,Lauderdale,67.66149729,33.23064694,52.51732742,3928,Alabama,2019,95878,1401,52222,96.7,GREATER APPALACHIA,7275,22572,18101,16396,11.30641551659828,35.08019395747855,28.13160512246674,25.48178540345642
1079,Lawrence,48.13816942,7.766948649,72.19657682,710.75,Alabama,2019,33214,274,55555,102.9,GREATER APPALACHIA,3912,9642,6211,3568,16.76595379933999,41.32344747782111,26.61895169930999,15.29164702352891
1081,Lee,92.32246312,39.56628055,24.22967604,10994,Alabama,2019,180773,2608,54188,100.4,DEEP SOUTH,9095,23254,32377,40727,8.624695361914787,22.05153006552682,30.70277754070534,38.62099703185306
1083,Limestone,113.0322969,61.57815053,33.07598855,7862.25,Alabama,2019,110900,3325,69207,128.2,GREATER APPALACHIA,9573,19395,21892,20159,13.47949140370886,27.30959320745153,30.82555372505949,28.38536166378012
