geoid,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,WOODARD NATION NAME,Less_than_a_high_school_diploma_2017_21,High_school_diploma_only_2017_21,Some_college_or_associate_degree_2017_21,Bachelor_degree_or_higher_2017_21,Percent_of_adults_with_less_than_a_high_school_diploma_2017_21,Percent_of_adults_with_a_high_school_diploma_only_2017_21,Percent_of_adults_completing_some_college_or_associate_degree_2017_21,Percent_of_adults_with_a_bachelor_degree_or_higher_2017_21
1001,Autauga,24.81923407,7.509112237,59.03673946,306.5,Alabama,2019,59759.0,535.0,66444.0,123.1,DEEP SOUTH,4126.0,12977.0,11367.0,11144.0,10.41550966829909,32.75862068965517,28.69440096935427,28.13146867269147
1003,Baldwin,26.064738,7.75314899,74.12777951,1864.0,Alabama,2019,246435.0,7297.0,65658.0,121.6,DEEP SOUTH,14555.0,44342.0,50518.0,52562.0,8.985843669162906,27.37549158213821,31.1883785969613,32.45028615173759
1005,Barbour,12.15457133,4.022005101,67.54092776,120.0,Alabama,2019,24706.0,247.0,38649.0,71.6,DEEP SOUTH,4378.0,6600.0,5010.0,2007.0,24.32898027229786,36.67685468185607,27.84106696304529,11.15309808280078
1007,Bibb,27.9648822,7.945448186,51.88747332,62.0,Alabama,2019,22005.0,-299.0,48454.0,89.7,DEEP SOUTH,3125.0,7052.0,3967.0,1913.0,19.46191692096905,43.9185402005356,24.70573581615495,11.91380706234041
1009,Blount,24.90388222,7.987017245,52.8001878,360.25,Alabama,2019,59512.0,606.0,56894.0,105.4,GREATER APPALACHIA,6650.0,14284.0,13673.0,6061.0,16.35192288777417,35.1234385757844,33.62102881872725,14.90360971771417
1011,Bullock,32.10688788,12.83351061,35.24772727,7.25,Alabama,2019,10202.0,-38.0,32027.0,59.3,DEEP SOUTH,1540.0,2841.0,1692.0,804.0,22.39348553148175,41.3116184382725,24.60375163588774,11.69114439435801
1013,Butler,18.9977771,5.219026353,68.83456851,98.25,Alabama,2019,18650.0,-105.0,39442.0,73.1,DEEP SOUTH,1932.0,6050.0,3523.0,1879.0,14.43514644351464,45.20322773460849,26.32247459653317,14.03915122534369
1015,Calhoun,25.18782809,7.90624644,55.99100754,487.5,Alabama,2019,115788.0,672.0,48166.0,89.2,DEEP SOUTH,11867.0,27783.0,24939.0,15674.0,14.78514383962723,34.61495334089182,31.07160210806972,19.52830071141124
1017,Chambers,24.30087822,9.50471057,55.11466051,97.75,Alabama,2019,34088.0,-155.0,45447.0,84.2,DEEP SOUTH,4275.0,8996.0,8167.0,3390.0,17.21846302561624,36.23328500080554,32.89431287256323,13.65393910101498
1019,Cherokee,21.31494264,7.278169228,60.39502087,134.0,Alabama,2019,25302.0,492.0,46365.0,85.9,GREATER APPALACHIA,3720.0,6809.0,5543.0,2364.0,20.17791277934476,36.93317422434367,30.06617487524409,12.82273812106748
