GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
1001,Autauga County,104.24031778878376,31.65029806042802,37.29825025391632,3308.5,Alabama,2019,59759,535,66444,123.1
1003,Baldwin County,86.41065739,42.76384692110308,57.09098086565308,17827.75,Alabama,2019,246435,7297,65658,121.6
1005,Barbour County,68.03614566,11.199876120798448,105.30809169171114,319.75,Alabama,2019,24706,247,38649,71.60000000000001
1007,Bibb County,72.65460420270239,61.06769008194627,124.77403852404812,444,Alabama,2019,22005,-299,48454,89.7
1009,Blount County,31.66699673904772,10.424210814827246,60.44427973770684,4381,Alabama,2019,59512,606,56894,105.4
1011,Bullock County,18.252544576180643,8.684971894,57.84350249962127,126.25,Alabama,2019,10202,-38,32027,59.3
1013,Butler County,33.84932879006358,9.318088173984956,71.88705505115047,402.5,Alabama,2019,18650,-105,39442,73.10000000000001
1015,Calhoun County,99.22697200505996,21.157229143493385,46.42200349641058,4122.5,Alabama,2019,115788,672,48166,89.2
1017,Chambers County,91.19013710920264,11.642404099027598,57.57789821662554,701.5,Alabama,2019,34088,-155,45447,84.2
1019,Cherokee County,27.16829458,6.592479843941903,114.46099731209476,945.5,Alabama,2019,25302,492,46365,85.9
1021,Chilton County,18.89284221252276,3.904471157936221,112.6616904054739,1206.25,Alabama,2019,45884,695,55142,102.1
1023,Choctaw County,7.359093299795263,2.2761831327158406,138.32089493101105,428.5,Alabama,2019,12439,-41,40601,75.2
1025,Clarke County,46.280725422525606,8.650865201514941,183.06938499177213,730.5,Alabama,2019,22515,-56,45447,84.2
1027,Clay County,38.09252540297682,5.148329623563091,141.8932528625835,757,Alabama,2019,14198,101,47036,87.10000000000001
1029,Cleburne County,15.084196916252656,6.811417610375286,131.93811903007958,531,Alabama,2019,15346,268,49769,92.2
1031,Coffee County,69.72633102561707,15.452520139163862,42.24137996,2393.75,Alabama,2019,54805,656,55052,102
1033,Colbert County,76.11254042360133,29.759245524198043,45.16775758882024,2787,Alabama,2019,58033,618,53341,98.80000000000001
1035,Conecuh County,71.91314460601436,9.005233913504307,122.9146170172486,390.5,Alabama,2019,11206,-4,35621,66
1037,Coosa County,61.11176189970303,7.672358979052817,131.26825822341823,235.25,Alabama,2019,10166,-111,45954,85.10000000000001
1039,Covington County,64.99334841,13.821605690595984,62.40763549440283,1286.75,Alabama,2019,37602,338,44188,81.80000000000001
1041,Crenshaw County,102.04101234716984,57.00301360437698,50.77925329586195,485.5,Alabama,2019,13025,70,38037,70.5
1043,Cullman County,75.44229036720309,13.56279973606037,59.42095092040809,4498.5,Alabama,2019,90665,1287,55036,101.9
1045,Dale County,76.89113045517385,27.171518502063137,53.04541211591785,1981.25,Alabama,2019,49544,160,50086,92.80000000000001
1047,Dallas County,39.36151328,7.083954685710722,70.35113641109089,779.5,Alabama,2019,36767,-611,33159,61.40000000000001
1049,DeKalb County,76.43406150086109,57.626180544125184,32.12982612976105,3365.5,Alabama,2019,71998,462,45062,83.5
1051,Elmore County,86.32832101654432,25.18022347,39.95943351649335,4279.75,Alabama,2019,89563,954,63147,117
1053,Escambia County,57.32604673266587,13.695228275106093,127.06757432562542,1039,Alabama,2019,36666,210,40506,75
1055,Etowah County,100.08780929374323,26.171823402102483,36.01582823898866,4041,Alabama,2019,103088,581,46308,85.80000000000001
1057,Fayette County,31.51548252741089,14.83626329613806,125.74933606059564,644.25,Alabama,2019,16118,84,46122,85.4
1059,Franklin County,62.15750165373299,8.833264401271524,59.64360429681375,1270.75,Alabama,2019,31932,25,45440,84.2
1061,Geneva County,29.68293136666189,9.51890383,142.17604785661243,364.25,Alabama,2019,26783,336,43206,80
1063,Greene County,12.98988734328946,3.820298661763308,204.83528584817245,68.75,Alabama,2019,7422,-113,30225,56
1065,Hale County,46.10650104363475,8.059720342882429,157.05169004886125,190.75,Alabama,2019,14595,-70,41995,77.80000000000001
1067,Henry County,41.17273652686424,5.952276883750049,99.99823692094095,636,Alabama,2019,17655,334,56389,104.4
1069,Houston County,79.39318891400995,13.542280530023923,40.59007003,4654.5,Alabama,2019,108079,832,48701,90.2
1071,Jackson County,78.43113268318272,55.76661848,24.827719780278027,2761.5,Alabama,2019,52891,600,46998,87
