GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
17001,Adams County,156.06126961762482,16.22583277603912,48.80712214714777,470.5
17003,Alexander County,34.89563333329271,6.257604017028961,184.22711578549342,111.75
17005,Bond County,83.28235565683983,16.089116388701463,44.72226602845172,785.5
17007,Boone County,200.9919238190453,25.87335092860178,22.960852058684196,3243.5
17009,Brown County,47.64328874466532,26.55664471850533,78.70144686176357,101.75
17011,Bureau County,121.28009205500132,12.70916203200271,41.68767518236383,1926.75
17013,Calhoun County,50.906278531158755,25.786543396349035,131.97017468104704,161.0
17015,Carroll County,109.29126840073968,30.423509561072592,41.238527463211966,941.0
17017,Cass County,46.03485336441323,10.661891795652995,36.46667793767702,646.0
17019,Champaign County,198.29735845963967,98.88779470918598,17.093965477554164,11633.0
17021,Christian County,164.59910293682145,111.33764392901776,24.845190108667275,1780.75
17023,Clark County,132.5799257486289,21.32872539852474,54.83456762336514,865.0
17025,Clay County,191.50478010384444,54.09802794648969,10.445533873677917,785.75
17027,Clinton County,127.2599862824457,16.775879050028795,27.40191805293088,2315.75
17029,Coles County,160.0939299722105,65.68044052022769,28.065752885765743,2337.75
17031,Cook County,234.53331987326942,52.031098426498716,13.973902181562819,252689.5
17033,Crawford County,118.63531262531426,17.77752147411441,40.327697421613486,670.75
17035,Cumberland County,61.73652461306446,12.085477563597456,61.32183162961381,647.0
17037,DeKalb County,228.57685313966505,93.29907343636575,17.020216974616503,4880.25
17039,De Witt County,135.90234297785074,21.00671218035029,56.08568412426612,686.5
17041,Douglas County,159.4436845098259,22.986085399790728,26.763932580549927,887.25
17043,DuPage County,234.98324650604502,38.05062921073392,15.880072602164573,65635.5
17045,Edgar County,98.34718136937735,13.345677302484361,40.80983740404291,758.5
17047,Edwards County,185.90675339991176,35.54868363692906,22.066281739057665,395.5
17049,Effingham County,173.79926873568016,35.81638189862074,23.252845525753568,2293.75
17051,Fayette County,113.16149486436531,13.818340295501741,49.721887376935896,795.5
17053,Ford County,97.14307343529855,15.640919889737662,34.165728217964755,436.0
17055,Franklin County,142.43317343529245,30.11674404712587,34.91897665961186,1533.5
17057,Fulton County,195.2499242781604,114.65457632306226,31.166775417616442,783.25
17059,Gallatin County,155.64693797348565,74.27018638220707,29.041236833459372,189.5
17061,Greene County,91.11982848910081,12.69757151205073,62.800814153147094,538.75
17063,Grundy County,214.18383593172945,31.004551332744544,23.141378698234615,2742.0
17065,Hamilton County,181.374070619266,64.64046529797709,14.595587226977141,349.25
17067,Hancock County,129.5792268198971,47.844875033499,34.2747681375254,932.0
17069,Hardin County,153.56056079397504,156.51083583874575,5.386515044945277,210.25
17071,Henderson County,116.27384033945974,47.91989695391298,39.82581378088016,321.75
17073,Henry County,147.42984331002694,46.21537514073021,28.300776068696102,3106.25
17075,Iroquois County,117.75123104996015,15.710396162663484,49.557136334047755,1642.25
17077,Jackson County,137.17650304981282,34.28418744708654,41.777722861050655,2920.75
17079,Jasper County,128.2018638259583,26.63133872978247,63.02322204468935,482.5
17081,Jefferson County,147.19718085162407,19.340747326618406,49.11641216139654,1522.5
17083,Jersey County,84.84840808890883,13.507525672173323,65.35470140547113,1679.0
17085,Jo Daviess County,123.27566767911279,62.66030027037297,29.830753097749543,2272.0
17087,Johnson County,106.65443568351031,83.5653983701103,39.89524321983172,800.25
17089,Kane County,239.39808113262822,82.28471644088411,14.857279793368306,33819.5
17091,Kankakee County,190.49295638899554,20.18230649649846,26.69993422454226,4327.25
17093,Kendall County,243.8288766123137,99.83299837041781,13.178870899747176,10454.0
17095,Knox County,208.682729959618,65.16547239070417,22.748389851881722,1681.0
17097,Lake County,234.8252061211249,27.948026955407343,16.259958966938978,43139.25
17099,LaSalle County,162.7641358529002,25.435399695467034,28.259535003925304,5570.0
17101,Lawrence County,119.91463985817418,18.09990734294296,41.49139727134079,896.0
17103,Lee County,127.81675975924668,11.690789719313187,53.5255268034763,1168.5
17105,Livingston County,129.61992838200808,19.70550429416693,27.580384120721206,1827.0
17107,Logan County,161.41385431428446,31.851948423377735,56.83592936971276,1053.5
17109,McDonough County,167.55278500002197,46.17272133229517,17.189487213790937,1089.25
17111,McHenry County,228.64828079023448,26.05183509299941,20.65154622420635,20154.25
17113,McLean County,190.4645461311888,103.94141791036898,18.071409638841942,11075.5
17115,Macon County,194.00559935815613,20.566516319089356,29.485413257868593,3880.0
17117,Macoupin County,97.07114663698918,18.42556817586561,37.78702778724051,3498.5
17119,Madison County,195.06322182176683,31.7464633031929,21.527413949595108,14317.0
17121,Marion County,154.6371570691398,21.534670404407024,37.8419527037791,1714.5
17123,Marshall County,113.2586775787704,23.129055024301923,40.3860114566115,612.5
17125,Mason County,75.57546758204535,51.06065009459518,26.624343613560566,738.25
17127,Massac County,104.67984010099902,15.07818788428311,37.50333204498349,808.75
17129,Menard County,67.1702415809138,32.80652193522949,56.4274295869186,1074.25
17131,Mercer County,136.9105865215046,23.780051647022113,57.20627078712543,924.25
17133,Monroe County,141.63447690862313,30.981981183835106,15.740374086273778,1625.5
17135,Montgomery County,156.20640009069768,81.30771224466326,22.503529141346135,1546.25
17137,Morgan County,120.9030120852266,61.46176295825956,38.5930064187314,2239.0
17139,Moultrie County,138.12701585738145,60.306093905949176,46.702685149102,495.25
17141,Ogle County,136.14536158081722,14.449827243377483,31.689182434981632,2548.0
17143,Peoria County,187.10094188645598,75.75695167703552,18.064499584494154,8826.5
17145,Perry County,112.88840419648741,15.343876179669987,45.0214686339414,596.75
17147,Piatt County,144.22546588393726,90.02655723992076,30.57978334191644,1156.25
17149,Pike County,52.092174752001526,25.886050121594522,91.57735351962826,748.0
17151,Pope County,117.11300982327789,125.11120467983966,20.558401924054692,289.5
17153,Pulaski County,50.764135783330985,11.129852448283094,56.253024153415865,84.5
17155,Putnam County,105.67641934593539,17.01071751613711,39.067730299048456,312.25
17157,Randolph County,94.39687122768164,15.704977490533993,31.512136595481937,994.5
17159,Richland County,158.87124414277662,21.7621188116269,24.005857385005854,1332.5
17161,Rock Island County,218.1216868884971,82.9205048103339,30.733950263504248,9551.75
17163,St. Clair County,210.78127274496248,34.6424892760314,16.95787781629707,14754.0
17165,Saline County,138.41513275333583,59.230133981761846,39.2533254038993,1435.25
17167,Sangamon County,194.96757946322785,53.93471958095335,27.01160667591543,11308.75
17169,Schuyler County,117.40149196325815,89.20703549134643,25.693338492844745,413.25
17171,Scott County,67.5150384790936,35.533433540657356,36.10050727201111,228.0
17173,Shelby County,85.20475712813366,19.52993632919524,48.518530083308136,938.5
17175,Stark County,194.23144494584812,96.21113309432087,26.552579731506484,423.0
17177,Stephenson County,150.32398422179733,17.44284981690698,32.82438772671237,1586.25
17179,Tazewell County,184.40934867654016,78.35624598069805,18.703079076058803,5962.25
17181,Union County,76.05846644734918,18.056035290056048,68.25520182881698,939.5
17183,Vermilion County,148.8596901461185,17.378823908348835,31.398932173465806,3164.0
17185,Wabash County,175.58719484088348,24.401855774368098,28.52648458929135,896.0
17187,Warren County,106.91192424351688,36.941876937824894,39.473927781939835,912.75
17189,Washington County,101.0911151414077,18.387560196660285,32.36129286852934,532.0
17191,Wayne County,174.20449457736646,32.26988014292681,23.09279329037217,1158.0
17193,White County,156.355091525237,20.42007210347325,25.202226410859097,623.5
17195,Whiteside County,190.36816561911078,73.14448717727613,26.043073077198095,2601.25
17197,Will County,235.3436999084594,43.62470791396818,16.263916203647984,41864.75
17199,Williamson County,143.94536342076657,58.95988098459041,41.97059444172166,4547.25
17201,Winnebago County,210.86629145303476,18.821218995235448,25.79615109124934,11891.75
17203,Woodford County,126.59620042390578,55.44040254634382,35.15648656543301,2433.0
