GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
27001,Aitkin County,67.17975680626026,30.93573085067817,43.803765468350235,1178.25
27003,Anoka County,160.88793703019357,26.668914887737035,16.13979937318406,17811.5
27005,Becker County,79.23431282462806,20.082250705833594,25.513953217097026,2079.5
27007,Beltrami County,182.33385868763528,164.9160172920398,6.065764539345351,2057.5
27009,Benton County,125.95164679819047,29.151310044422743,18.480185317727845,2068.0
27011,Big Stone County,119.34160135199863,17.188281735657228,22.517042136003337,64.5
27013,Blue Earth County,121.15310893711992,28.02495111343551,24.60577171377444,4023.5
27015,Brown County,84.13740690703628,17.869632714212578,24.12418126836385,824.0
27017,Carlton County,99.69101309838028,17.093182682095506,47.01058387808682,3137.75
27019,Carver County,158.15347963022842,54.00646888674063,16.953384043493564,10460.25
27021,Cass County,79.43522811046991,42.93789820799059,26.9189042933692,2357.25
27023,Chippewa County,89.82591036316906,13.126435008147258,30.558440927121616,437.25
27025,Chisago County,121.01885797460343,48.70730225548962,25.577611691440996,3270.5
27027,Clay County,137.1134687977148,39.648984291257776,16.92202252046287,2910.75
27029,Clearwater County,105.1436550947474,118.18597633516633,19.841983496634658,238.5
27031,Cook County,69.58550988869351,69.7697628118418,19.8326618401843,712.75
27033,Cottonwood County,50.302234725112534,21.890222378267136,29.194174060673994,417.75
27035,Crow Wing County,112.66741553745607,41.38030164765246,23.800212691570493,5622.75
27037,Dakota County,167.79157407820807,32.662615778468684,16.164889377590413,31621.25
27039,Dodge County,86.76592012763504,60.853976343539294,20.17615719046519,1035.5
27041,Douglas County,128.64473259522185,19.009994167541137,30.2797709101269,1618.0
27043,Faribault County,79.13507414827593,43.50843853394875,25.81446121148322,390.75
27045,Fillmore County,53.30177159165416,25.30919408511594,35.785581544796415,1285.5
27047,Freeborn County,114.66554961412216,29.803504224102554,24.86149588776501,1789.5
27049,Goodhue County,96.77509339575595,46.15190702885148,31.491972019406056,2636.25
27051,Grant County,38.740451053345126,17.292205931634076,26.918591039485204,72.75
27053,Hennepin County,169.87366199772916,61.96213916595447,13.272962651740492,83485.0
27055,Houston County,95.90658535928634,56.5467960473212,21.684329004886983,958.0
27057,Hubbard County,132.45866220709638,89.21773006202783,18.013714350606442,1629.0
27059,Isanti County,86.03055486531449,14.922512818916276,51.838150831783466,1795.5
27061,Itasca County,147.10604970477652,120.1606993768808,19.762183320522034,2494.0
27063,Jackson County,72.415100290164,52.467702206524926,23.665044244314732,443.25
27065,Kanabec County,57.14656423835487,10.108426586483448,50.64877910205478,514.5
27067,Kandiyohi County,136.26523030661107,14.132899675979484,23.33332876045692,2039.0
27069,Kittson County,33.78792782671432,23.01827504468269,24.41968996740769,187.75
27071,Koochiching County,88.27029379821111,35.68995057598759,34.63732886473262,336.75
27073,Lac qui Parle County,92.92197716541907,12.980241184480203,39.6128876863032,114.5
27075,Lake County,94.30993218357101,46.49771506042741,89.00567690834787,1206.75
27077,Lake of the Woods County,41.855939507053975,17.712436155734114,29.33598505976199,263.0
27079,Le Sueur County,106.79897567119616,38.89855262906731,27.893642022214237,1500.75
27081,Lincoln County,76.95595472131714,29.66531696786664,15.2841799571181,202.75
27083,Lyon County,135.45585089185465,14.421736968331395,20.01459576311767,1197.5
27085,McLeod County,99.77509259689195,27.042880557524853,24.906496277469135,1892.75
27087,Mahnomen County,56.65548247149442,22.337748090762314,39.99149839414208,159.0
27089,Marshall County,62.36464085410701,37.2566915199537,24.67847626030268,410.75
27091,Martin County,57.76133393802213,15.245345313933463,41.51521225799692,799.25
27093,Meeker County,75.2534974176507,20.29930511652677,21.24693416863473,959.5
27095,Mille Lacs County,57.186501964779715,18.94293087442271,52.34902016296217,1046.75
27097,Morrison County,112.11872551436687,57.483795859902365,25.65604209526945,1292.5
27099,Mower County,89.06508740005285,22.93113996110924,34.27073653625302,2371.25
27101,Murray County,63.916855151148305,11.517170382175106,34.04723623273399,359.5
27103,Nicollet County,118.26371340416726,30.011222260110735,24.9078099114775,1748.0
27105,Nobles County,94.24156311859488,15.72739140865367,27.957017373405613,723.75
27107,Norman County,81.2613858396006,29.884161669431187,26.999499759397683,263.5
27109,Olmsted County,174.03765877705132,72.28428369307264,17.183551825373172,15318.75
27111,Otter Tail County,79.20691509583295,16.202565107297588,25.87753730335251,3097.25
