GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
18001,Adams County,43.28785470490261,11.60096415908724,58.74427608319016,334.75
18003,Allen County,120.71059265637558,16.279115815281738,42.06745431345789,4217.0
18005,Bartholomew County,73.01613880353747,10.051291157806634,48.44496404724104,774.25
18007,Benton County,66.52959338235294,6.667867927170868,48.51942110177404,50.5
18009,Blackford County,42.72872954192547,9.084527194737348,33.63562575232317,78.0
18011,Boone County,54.57088785675947,8.100739492902624,42.02794940248575,802.0
18013,Brown County,53.83925984476517,7.264970644869315,41.80222375142588,118.0
18015,Carroll County,42.48433825134177,7.456671305648543,41.162044789262126,155.5
18017,Cass County,57.663967510644255,10.90058003472389,39.88038853726419,216.25
18019,Clark County,114.72428894855761,14.095222071261277,42.768082477466244,1222.25
18021,Clay County,38.68062342769032,7.759518965774631,54.72772948134333,216.25
18023,Clinton County,52.29189363352266,7.1332107613576445,42.19635350176019,386.0
18025,Crawford County,32.409846615556454,7.935805805750746,67.37568244825952,129.0
18027,Daviess County,44.264990011664764,8.726314726832149,51.34324396929,268.75
18029,Dearborn County,70.89828887969912,13.978435181024217,61.3691713547808,235.75
18031,Decatur County,52.87993207852453,10.105893568792922,52.116996751770664,239.25
18033,DeKalb County,59.585391263379314,10.16538971861087,55.38953379536668,508.5
18035,Delaware County,70.63184313307605,11.55455586433041,36.40823885850578,650.5
18037,Dubois County,38.64253863782875,9.186439904950426,52.67115171927497,184.5
18039,Elkhart County,51.378769590834196,10.299445908655589,48.26398828315836,1763.0
18041,Fayette County,55.184348835803284,7.259106809661388,42.921410675592014,115.5
18043,Floyd County,96.4300427511766,13.480587558628198,35.99493916809199,751.0
18045,Fountain County,36.80225523276292,6.728272373505968,39.55880974720696,138.25
18047,Franklin County,33.865864302215215,7.6102872845224905,46.79001739649285,230.25
18049,Fulton County,38.51317798028146,10.585383261741123,41.96166134838815,72.5
18051,Gibson County,46.37928896880358,11.298752613460028,57.475497772014585,258.5
18053,Grant County,53.21814121993572,8.27175837048172,43.457995067039874,398.0
18055,Greene County,43.600783386785764,8.044939181182471,51.51488341513749,213.0
18057,Hamilton County,98.66434634589388,12.54087119431528,35.797139382369124,2913.75
18059,Hancock County,74.6750791307752,13.082195921960375,39.737150730986635,631.25
18061,Harrison County,45.07867223482077,10.073512023551338,44.37813113403688,343.0
18063,Hendricks County,122.05487656160474,12.567306630611505,36.39863456185284,1659.75
18065,Henry County,54.72553229176615,12.449318668451209,41.76923568081729,293.0
18067,Howard County,95.93139211514655,12.239132275032063,37.37490193680045,816.5
18069,Huntington County,55.99718564528712,9.589494769796106,58.272625506534055,417.5
18071,Jackson County,88.43110595430502,14.593699334936346,43.30355830617808,269.75
18073,Jasper County,40.128023631260746,9.638848992822519,45.82531344059813,311.25
18075,Jay County,28.966583164209208,4.642188152559466,52.67664620716836,91.75
18077,Jefferson County,39.98222808711661,7.926004981255716,51.00657744139285,150.25
18079,Jennings County,45.05015168902194,9.652515704641516,48.93140960957757,143.75
18081,Johnson County,124.71866227130458,12.855183815860624,37.66133828992168,1470.25
18083,Knox County,33.40153643457825,7.334922452506836,63.04289879540936,194.25
18085,Kosciusko County,48.59199272776913,7.8017999206486035,48.41709423268037,494.0
18087,LaGrange County,43.93010216881538,8.521984700210382,53.5966687045526,337.75
18089,Lake County,96.76264313154144,16.927767666872327,36.36518918064635,4091.0
18091,LaPorte County,62.18954810639731,12.545045750379629,46.052355768679575,895.75
18093,Lawrence County,73.3808739834897,11.537305476144248,47.286005315123425,309.75
18095,Madison County,70.06500709867001,9.139751752656627,42.62422149198082,905.0
18097,Marion County,222.39168285612283,17.304902337241135,34.52338438762471,9076.0
18099,Marshall County,45.85928549379783,9.56166603767036,49.341723725484655,365.0
18101,Martin County,41.10462984645525,8.980570699770887,47.5651750240829,77.75
18103,Miami County,51.87304700532752,9.942711968502593,44.59273196993785,308.75
18105,Monroe County,55.93383482255959,9.153710506187664,41.64636095320765,681.75
18107,Montgomery County,48.957989106597715,8.324770588985555,51.53998511186442,441.5
18109,Morgan County,61.78871036818808,8.18727893874246,45.12577177901148,496.25
