GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,year
20001,Allen County,53.42316327389304,18.90638480135046,42.61098649817112,281.25,2019
20003,Anderson County,12.576906575325433,3.663778679918297,63.67578961402238,202.0,2019
20005,Atchison County,31.097812728760715,5.755507886695868,48.309184381495534,377.0,2019
20007,Barber County,23.94409618080173,10.821182469902926,66.67100614439325,240.75,2019
20009,Barton County,70.41122565130877,18.97973633524822,28.56109539652543,927.25,2019
20011,Bourbon County,67.08781588998673,41.80806568043728,45.63755295109354,509.0,2019
20013,Brown County,22.36965580374787,5.75146122530936,44.38981076149349,241.25,2019
20015,Butler County,80.05165754789344,19.547401260838065,30.340076111311788,4097.75,2019
20017,Chase County,13.618608987692484,3.971442983313235,119.41744119291332,111.5,2019
20019,Chautauqua County,15.618794351073763,1.7371229575163398,158.70862511671334,45.5,2019
20021,Cherokee County,76.92283698218125,34.444837280606095,52.016801934693696,689.25,2019
20023,Cheyenne County,32.51781212812306,8.89416941080016,25.384819916864547,144.0,2019
20025,Clark County,31.485184121782783,24.047117101020213,25.569906659541758,88.5,2019
20027,Clay County,78.92910994197075,81.34172056712205,24.00459537958826,362.25,2019
20029,Cloud County,46.67946867141868,22.77471121011121,23.58883443883444,322.0,2019
20031,Coffey County,76.18469529113024,17.700140642785016,80.16872737919161,198.25,2019
20033,Comanche County,12.628707115677322,3.44675973173516,75.11473554033485,38.0,2019
20035,Cowley County,84.89943661647163,14.934743647123629,30.00034163981687,1070.25,2019
20037,Crawford County,140.7237321740958,94.51683763624116,19.4323163288447,1432.75,2019
20039,Decatur County,21.4039594192504,5.069447107326576,45.91820006816596,225.0,2019
20041,Dickinson County,29.737070334933808,7.861134077312565,39.72010236998939,706.75,2019
20043,Doniphan County,23.21585405156592,4.258164454152981,51.08290308029571,172.75,2019
20045,Douglas County,74.25537282162209,26.670593768127603,34.05262122646971,6034.25,2019
20047,Edwards County,124.61931787979049,14.538035194375516,35.89988282326992,35.0,2019
20049,Elk County,26.65546405650588,7.29769340339396,64.0196661138192,128.5,2019
20051,Ellis County,33.25122589389305,10.312822631277257,12.18468421121669,1526.0,2019
20053,Ellsworth County,33.30885103565011,11.546893040552863,26.67524140117815,190.5,2019
20055,Finney County,89.52288376519392,13.169640381409655,32.95827339746134,1015.75,2019
20057,Ford County,66.90136354130196,15.983565097320074,39.4516251964952,1231.75,2019
20059,Franklin County,31.656612438906333,6.775685875425857,61.26782033707088,707.75,2019
20061,Geary County,98.67582640562009,18.53639266879124,39.58998650965599,1607.75,2019
20063,Gove County,34.20453498444164,24.41351574745552,20.837606635759855,54.25,2019
20065,Graham County,31.875532298474948,7.73393575708061,10.833660130718956,39.25,2019
20067,Grant County,23.80435636909251,13.107656004859944,11.384829198698146,219.5,2019
20069,Gray County,21.80527477104962,18.19536185240975,46.88712924854916,192.25,2019
20071,Greeley County,20.40769367943548,4.5988353125,34.78439180107527,36.0,2019
20073,Greenwood County,58.87423038438735,14.120446722754457,180.95293112970836,148.0,2019
20075,Hamilton County,19.34113839725353,4.312517415061823,22.440242367873942,33.5,2019
20077,Harper County,27.21514980250668,14.318519988310726,39.33748257454821,170.75,2019
20079,Harvey County,76.13590482680091,12.482968673579265,39.51925180191616,1120.75,2019
20081,Haskell County,17.73955761949771,6.143501045376842,43.39042857977613,139.0,2019
20083,Hodgeman County,9.865678494524424,5.380062926818014,94.33821674664698,36.75,2019
20085,Jackson County,25.51640155807769,14.385573604714114,52.3702714827749,713.5,2019
20087,Jefferson County,26.126093352238232,4.897922437401041,88.37033243522887,806.25,2019
20089,Jewell County,28.086982379772344,8.981419922662164,24.27499863841839,56.25,2019
20091,Johnson County,132.89702911409626,77.48147166729123,21.428397898791157,41703.5,2019
20093,Kearny County,29.369120203890347,19.33954217815756,28.615224218521764,178.5,2019
20095,Kingman County,53.45670398249682,7.907036687137534,44.12286347445414,178.0,2019
