GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
29001,Adair County,15.738274394405643,5.14890667751247,71.55435098234898,103.0
29003,Andrew County,39.28061073595701,7.515959370665742,53.685622399445215,61.25
29005,Atchison County,23.04445153508772,8.485204855889725,38.96672932330827,26.0
29007,Audrain County,22.39862031892776,4.627991779381791,63.36630418978653,116.25
29009,Barry County,26.885678719415523,8.5092467219511,75.22416749418305,185.75
29011,Barton County,33.24029347839733,6.286249758873598,61.51557482787732,83.25
29013,Bates County,23.713939415644493,6.125987464062236,62.4717428447787,74.25
29015,Benton County,22.693078022036364,5.154850561337891,60.69721956381293,102.5
29017,Bollinger County,16.449690338532065,6.567514975583518,57.179196385791556,86.0
29019,Boone County,24.604770147085603,7.350288956172273,53.01682670673883,931.75
29021,Buchanan County,33.71201703541987,9.104839313338509,51.56651412923736,461.75
29023,Butler County,21.29151772903529,6.102525294873347,70.76694846925629,343.0
29025,Caldwell County,30.54966183261183,7.661808261183262,62.09249639249639,24.25
29027,Callaway County,30.058787745406978,7.1855880243667105,47.48675979405955,207.25
29029,Camden County,32.24981849420301,6.512503942620725,55.44684911373089,417.5
29031,Cape Girardeau County,31.567666983030193,9.209703519835559,49.6793849571912,402.25
29033,Carroll County,20.090671878990822,4.291386221568764,71.44204870751278,32.75
29035,Carter County,13.02287560442012,3.5166839392827196,74.97834540554351,85.5
29037,Cass County,41.05243527401334,7.284368757050083,57.80850241960209,1241.75
29039,Cedar County,22.067087923679292,7.371501326189224,66.19930896446938,84.25
29041,Chariton County,15.562833815175491,3.215949745764861,101.58776342818015,32.0
29043,Christian County,27.601371626878056,9.530043059560679,55.919279197764226,662.0
29045,Clark County,16.681912115140587,5.611782005944033,58.04648033126294,37.25
29047,Clay County,39.834359801402016,9.451305035931474,48.288585790770824,1551.75
29049,Clinton County,27.589439606169172,7.7334489210172705,56.32066701680672,101.0
29051,Cole County,26.35177960490553,5.738883681129485,49.04700184358704,465.75
29053,Cooper County,19.86769788925004,6.764167105993341,65.06809695576344,152.75
29055,Crawford County,26.39054144079948,8.453925185134608,55.2341198470271,105.25
29057,Dade County,13.439103395544263,6.160048426405446,76.22388647319393,42.5
29059,Dallas County,25.826749692639808,7.988902966200216,65.67819727927657,141.25
29061,Daviess County,24.697258049041352,7.058515214909821,55.074213962874566,36.0
29063,DeKalb County,33.01159488636364,11.092441553030303,49.355587121212125,24.5
29065,Dent County,28.276113712299257,5.2461341328502415,74.92035552944249,79.5
29067,Douglas County,13.243872561507523,5.6839096155154145,71.15492698919117,157.5
29069,Dunklin County,29.624993323503347,7.624448064545893,63.07183074567837,73.25
29071,Franklin County,32.64521501592195,6.584070370700962,62.301425875661394,679.5
29073,Gasconade County,30.50178358371701,9.196326738478913,47.08578559122037,73.5
29075,Gentry County,20.49400854037267,4.502197722567288,48.25072463768116,11.5
29077,Greene County,31.699437291772306,12.01733556261033,50.32121537465498,3317.0
29079,Grundy County,20.008735871901205,7.196704080373408,62.22953873857235,85.25
29081,Harrison County,18.329302861796837,9.453285273962985,55.27805628106833,74.5
29083,Henry County,26.389606348408616,5.991594276846472,58.56039482179033,125.75
29085,Hickory County,17.598287419493623,5.227967621506039,104.53088394880982,106.5
29087,Holt County,35.809249185118574,5.715617701191412,46.625653310104525,28.5
