GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
38001,Adams County,72.2392130952381,8.11655,58.220238095238095,6.25
38003,Barnes County,52.15979011166253,8.216117617866004,52.47306451612903,40.75
38005,Benson County,36.27657366071429,5.601858766233766,62.93607954545455,16.75
38007,Billings County,74.57913214285713,15.080944047619045,72.85535714285714,21.5
38009,Bottineau County,72.71148928155178,14.6731218989344,55.43181818181818,29.25
38011,Bowman County,42.73058290598291,13.637991666666666,75.13290598290598,9.5
38013,Burke County,39.30266785714285,11.629805952380952,54.69880952380952,6.25
38015,Burleigh County,57.88106514512896,14.278800217260745,58.11783734070991,349.25
38017,Cass County,62.42732348432847,15.752873158605299,44.741445676989,1636.5
38019,Cavalier County,85.64643370737448,17.344118364092047,43.56785904154325,28.5
38021,Dickey County,34.73409259259259,10.926060185185186,53.53703703703704,11.0
38023,Divide County,38.3563912037037,10.336897569444444,58.62962962962963,12.0
38025,Dunn County,48.38613780897998,9.46843615652378,51.717707681476845,25.25
38027,Eddy County,18.539770833333332,6.5218541666666665,43.854166666666664,6.0
38029,Emmons County,38.90617385912698,10.209142733134922,59.04737103174603,19.0
38031,Foster County,80.204725,17.633254166666667,54.84166666666667,5.5
38033,Golden Valley County,24.32613736263736,12.63050636863137,66.62475024975025,12.25
38035,Grand Forks County,52.563490704135376,9.520986465801293,55.65313643497164,575.25
38037,Grant County,55.63531513409961,11.95740325670498,59.735632183908045,15.0
38039,Griggs County,49.40664629120879,8.145184294871795,67.90499084249083,16.5
38041,Hettinger County,22.859335567210568,4.900268890831391,85.53627622377623,11.25
38043,Kidder County,63.65030178571429,19.025144047619044,51.18928571428572,20.75
38045,LaMoure County,14.506751623376624,5.425623782467532,48.359577922077925,7.5
38047,Logan County,31.150366666666663,6.463783333333334,76.05,4.0
38049,McHenry County,48.83288640873016,10.30010267857143,70.49305555555556,20.0
38051,McIntosh County,66.4233875,17.271408333333333,41.22291666666666,8.75
38053,McKenzie County,66.78460438618049,12.505777145985075,65.28966963075503,107.25
38055,McLean County,60.12121607559108,16.558635531135533,47.43589743589744,19.0
38057,Mercer County,81.20632683982683,12.750248647186147,50.29356060606061,12.75
38059,Morton County,58.92845721321574,10.950275030140169,58.11157334622847,93.5
38061,Mountrail County,49.1179542082842,15.710436793304021,59.44485880354019,61.0
38063,Nelson County,27.269210542929294,4.513121527777778,53.03945707070707,8.0
38065,Oliver County,48.363592857142855,19.447611011904762,46.49166666666667,7.0
38067,Pembina County,54.510369084005454,8.427785149104414,57.161094962548965,90.25
38069,Pierce County,70.08296825396825,15.457011904761906,53.68253968253968,8.333333333333334
38071,Ramsey County,71.15240530690231,10.778450297669886,63.13026774473147,36.5
38073,Ransom County,42.789075702075706,11.426890415140415,47.72374847374847,12.5
38075,Renville County,111.65804474637682,35.184136413043475,56.56268115942029,13.5
38077,Richland County,58.51346490610328,11.41422664010378,45.52618297504324,66.0
38079,Rolette County,49.664153496503495,6.267571984265735,79.81123251748252,12.5
38081,Sargent County,47.80583974358974,13.434570512820512,47.65064102564102,7.0
38083,Sheridan County,58.38799607843137,9.36705882352941,58.48627450980393,7.666666666666667
38085,Sioux County,32.306349999999995,6.59504375,112.03125,8.75
38087,Slope County,59.75028125,18.74609375,62.55,4.0
38089,Stark County,53.59888385330435,15.09191790803487,60.23450624154606,107.25
38091,Steele County,59.07754265873015,16.844426587301587,49.10218253968254,5.25
38093,Stutsman County,84.19768896386306,16.047578427822984,57.045298221608704,88.75
38095,Towner County,37.78228174603175,10.721353174603175,58.30555555555555,12.0
38097,Traill County,49.087714690154925,8.96879300391471,60.191224387806095,34.0
38099,Walsh County,50.61925569785606,8.12084413515406,55.3413138332256,46.5
38101,Ward County,64.66868941337975,16.080780935434927,55.448641791674675,216.0
38103,Wells County,24.350187499999997,7.935239583333333,73.04166666666667,8.0
38105,Williams County,58.35957463279063,13.212661009041799,61.43461459859916,118.25
