GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,year
56001,Albany County,83.3858749485343,14.269415458598264,34.79747178490258,1533.75,2019
56003,Big Horn County,35.31493163160941,10.9508038176674,64.91104558511066,431.25,2019
56005,Campbell County,62.558380370944256,9.456078274366924,26.2267275004749,2391.0,2019
56007,Carbon County,56.122653219171625,10.110705220468963,46.28173435482311,504.5,2019
56009,Converse County,35.29603646339446,7.814355384389641,77.91508391982997,556.0,2019
56011,Crook County,20.53909310122738,7.487694094008747,51.487209091725504,333.0,2019
56013,Fremont County,52.07601471904967,16.479758708118233,51.11966918129416,1388.75,2019
56015,Goshen County,23.479310988904857,4.176129458202889,44.72003972299338,490.75,2019
56017,Hot Springs County,51.70718691101639,15.399332806152351,23.25863795529168,132.0,2019
56019,Johnson County,51.60147774316527,13.856351742775468,38.25676320165006,282.0,2019
56021,Laramie County,84.12069364112422,13.95256471355402,24.909748350980035,5654.25,2019
56023,Lincoln County,26.696678652080543,9.449888153897753,39.26807513609475,1143.75,2019
56025,Natrona County,75.56419404930051,11.737962375540128,24.58865316970672,3894.75,2019
56027,Niobrara County,14.46946846448252,4.628076231443611,47.997949427705485,163.0,2019
56029,Park County,54.86625608176333,34.93479765209722,48.22996905343671,1322.25,2019
56031,Platte County,22.43882208946132,5.634374599130871,84.54923162415363,233.5,2019
56033,Sheridan County,72.66653536001263,10.81556109161477,30.79327716759548,1002.5,2019
56035,Sublette County,20.196290862537737,4.623884297711744,74.00510914323125,674.0,2019
56037,Sweetwater County,50.69642300284407,12.336468884401468,31.838850079897973,2831.75,2019
56039,Teton County,72.37358100543885,30.677126375571497,62.43216926695723,3408.0,2019
56041,Uinta County,46.63446529818272,22.995163192378065,32.12900578361868,1662.25,2019
56043,Washakie County,64.23822646988845,14.358893904804717,28.971864509101216,265.0,2019
56045,Weston County,25.36450696663613,6.096385362562804,94.2250922200664,302.25,2019
56001,Albany County,104.94341338985345,14.403829507099712,30.17992553701521,2158.0,2020
56003,Big Horn County,44.99104697302517,18.744605885468147,46.37819415464265,607.25,2020
56005,Campbell County,77.19617091445886,10.819042385106451,27.262978075501334,3200.5,2020
56007,Carbon County,70.00102109474486,16.250541569928007,29.75599605214258,784.75,2020
56009,Converse County,48.71073739837638,11.21131869945648,64.90465289921401,720.5,2020
56011,Crook County,22.72355063107121,8.926717437310309,29.77700144262737,485.75,2020
56013,Fremont County,54.4511050642852,18.369986917232723,50.40227569311924,1755.5,2020
56015,Goshen County,33.36525456901673,5.753041955346781,42.0475130193854,814.5,2020
56017,Hot Springs County,74.44961930578654,25.18771213622817,28.27940094927609,233.0,2020
56019,Johnson County,62.78940135126475,12.030480462400217,45.30503363241458,441.75,2020
56021,Laramie County,97.29656445239452,16.620593699498958,19.316268245783565,7770.25,2020
56023,Lincoln County,33.983930083085305,16.088553376013078,25.424890363209723,1808.5,2020
56025,Natrona County,107.44591595213726,13.825353200456563,23.98243118321681,4906.0,2020
56027,Niobrara County,18.86645019410592,3.5821621876259457,62.56806548173354,126.0,2020
56029,Park County,65.70024291531075,35.6684621236268,35.404952304985514,1956.75,2020
56031,Platte County,38.82805351409404,13.696648359476509,65.29704657100203,435.0,2020
