GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
1001,Autauga County,49.2524915000659,10.79681152254742,45.74628939910515,443.75,Alabama,2021,59759.0,535.0,66444.0,123.1
1003,Baldwin County,65.18486444209144,10.923448139948764,51.26977573640918,3308.25,Alabama,2021,246435.0,7297.0,65658.0,121.6
1005,Barbour County,53.068053691506265,8.578212020621928,51.27137424737464,183.75,Alabama,2021,24706.0,247.0,38649.0,71.60000000000001
1007,Bibb County,55.136251588973686,10.390490057846392,40.00512571539615,178.5,Alabama,2021,22005.0,-299.0,48454.0,89.7
1009,Blount County,36.23576415123071,9.61224985293449,40.40644199035288,412.25,Alabama,2021,59512.0,606.0,56894.0,105.4
1011,Bullock County,40.23075218253968,13.152055092592594,48.062235449735454,29.75,Alabama,2021,10202.0,-38.0,32027.0,59.3
1013,Butler County,34.1318764957265,7.479406313459933,62.39820263800527,111.25,Alabama,2021,18650.0,-105.0,39442.0,73.10000000000001
1015,Calhoun County,52.0738662684651,8.710336079722481,49.15597921879992,952.0,Alabama,2021,115788.0,672.0,48166.0,89.2
1017,Chambers County,54.30991714656941,13.290157009944304,43.58577658685559,233.25,Alabama,2021,34088.0,-155.0,45447.0,84.2
1019,Cherokee County,43.92059311501973,10.02735986305814,46.62049000108736,297.0,Alabama,2021,25302.0,492.0,46365.0,85.9
1021,Chilton County,47.184584863433216,9.611867856691372,43.43109929153451,332.5,Alabama,2021,45884.0,695.0,55142.0,102.1
1023,Choctaw County,37.772786280395,8.44001545290864,60.09889445743772,52.25,Alabama,2021,12439.0,-41.0,40601.0,75.2
1025,Clarke County,31.88694081596026,6.024131629219151,111.30868549483507,167.25,Alabama,2021,22515.0,-56.0,45447.0,84.2
1027,Clay County,33.82015458529864,4.810577905529954,40.67959645793801,104.5,Alabama,2021,14198.0,101.0,47036.0,87.10000000000001
1029,Cleburne County,54.43237081488922,9.293386416171462,54.17774920294175,135.75,Alabama,2021,15346.0,268.0,49769.0,92.2
1031,Coffee County,30.88863313958494,7.743616499483047,52.52910708935599,404.75,Alabama,2021,54805.0,656.0,55052.0,102.0
1033,Colbert County,46.010993094811255,8.891684346500174,56.080820584187705,419.25,Alabama,2021,58033.0,618.0,53341.0,98.80000000000001
1035,Conecuh County,58.9647993043792,11.521429945416902,66.77586815358555,92.5,Alabama,2021,11206.0,-4.0,35621.0,66.0
1037,Coosa County,43.8227413076192,8.428448557168739,49.78890087913828,67.5,Alabama,2021,10166.0,-111.0,45954.0,85.10000000000001
1039,Covington County,38.07235427177133,9.03079679849832,57.81037557318701,248.25,Alabama,2021,37602.0,338.0,44188.0,81.80000000000001
1041,Crenshaw County,37.11595865384616,10.063146924603174,51.55659340659341,41.25,Alabama,2021,13025.0,70.0,38037.0,70.5
1043,Cullman County,52.72183264853939,11.866395046949531,49.181969643802574,830.25,Alabama,2021,90665.0,1287.0,55036.0,101.9
