geoid,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,WOODARD NATION NAME,Less_than_a_high_school_diploma_2017_21,High_school_diploma_only_2017_21,Some_college_or_associate_degree_2017_21,Bachelor_degree_or_higher_2017_21,Percent_of_adults_with_less_than_a_high_school_diploma_2017_21,Percent_of_adults_with_a_high_school_diploma_only_2017_21,Percent_of_adults_completing_some_college_or_associate_degree_2017_21,Percent_of_adults_with_a_bachelor_degree_or_higher_2017_21,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
1001,Autauga,104.2403178,31.65029806,37.29825025,3308.5,Alabama,2019,59759.0,535.0,66444.0,123.1,DEEP SOUTH,4126.0,12977.0,11367.0,11144.0,10.41550966829909,32.75862068965517,28.69440096935427,28.13146867269147,39.2,38.0,40.3
1003,Baldwin,86.41065739,42.76384692,57.09098087,17827.75,Alabama,2019,246435.0,7297.0,65658.0,121.6,DEEP SOUTH,14555.0,44342.0,50518.0,52562.0,8.985843669162906,27.37549158213821,31.1883786,32.45028615173759,43.9,42.7,45.1
1005,Barbour,68.03614566,11.19987612,105.3080917,319.75,Alabama,2019,24706.0,247.0,38649.0,71.6,DEEP SOUTH,4378.0,6600.0,5010.0,2007.0,24.32898027229786,36.67685468185607,27.84106696304529,11.15309808280078,41.5,39.5,44.4
1007,Bibb,72.6546042,61.06769008,124.7740385,444.0,Alabama,2019,22005.0,-299.0,48454.0,89.7,DEEP SOUTH,3125.0,7052.0,3967.0,1913.0,19.46191692096905,43.9185402,24.70573581615495,11.91380706234041,40.5,38.8,43.1
1009,Blount,31.66699674,10.42421081,60.44427974,4381.0,Alabama,2019,59512.0,606.0,56894.0,105.4,GREATER APPALACHIA,6650.0,14284.0,13673.0,6061.0,16.35192288777417,35.12343858,33.62102881872725,14.90360971771417,41.1,40.3,42.1
1011,Bullock,18.25254458,8.684971894,57.8435025,126.25,Alabama,2019,10202.0,-38.0,32027.0,59.3,DEEP SOUTH,1540.0,2841.0,1692.0,804.0,22.39348553148175,41.31161844,24.60375163588774,11.69114439435801,39.7,38.3,42.2
1013,Butler,33.84932879,9.318088174,71.88705505,402.5,Alabama,2019,18650.0,-105.0,39442.0,73.1,DEEP SOUTH,1932.0,6050.0,3523.0,1879.0,14.43514644351464,45.20322773460849,26.32247459653317,14.03915122534369,41.9,39.2,44.1
1015,Calhoun,99.22697201,21.15722914,46.4220035,4122.5,Alabama,2019,115788.0,672.0,48166.0,89.2,DEEP SOUTH,11867.0,27783.0,24939.0,15674.0,14.78514383962723,34.61495334089182,31.07160210806972,19.52830071141124,39.5,37.8,41.1
1017,Chambers,91.19013711,11.6424041,57.57789822,701.5,Alabama,2019,34088.0,-155.0,45447.0,84.2,DEEP SOUTH,4275.0,8996.0,8167.0,3390.0,17.21846302561624,36.23328500080554,32.89431287256323,13.65393910101498,43.2,41.5,44.8
1019,Cherokee,27.16829458,6.592479844,114.4609973,945.5,Alabama,2019,25302.0,492.0,46365.0,85.9,GREATER APPALACHIA,3720.0,6809.0,5543.0,2364.0,20.17791277934476,36.93317422434367,30.06617487524409,12.82273812106748,47.7,47.0,48.4
1021,Chilton,18.89284221,3.904471158,112.6616904,1206.25,Alabama,2019,45884.0,695.0,55142.0,102.1,DEEP SOUTH,5569.0,13113.0,7719.0,4133.0,18.23868474487457,42.94556887404205,25.28001572018078,13.53573066,39.9,39.1,40.6
1023,Choctaw,7.3590933,2.276183133,138.3208949,428.5,Alabama,2019,12439.0,-41.0,40601.0,75.2,DEEP SOUTH,1802.0,3477.0,2915.0,1087.0,19.41601120568904,37.46363538411808,31.40825342096757,11.71209999,46.9,45.4,48.4
1025,Clarke,46.28072542,8.650865202,183.069385,730.5,Alabama,2019,22515.0,-56.0,45447.0,84.2,DEEP SOUTH,2892.0,6740.0,4378.0,2259.0,17.77613867,41.42848361915299,26.91007437457742,13.88530334,42.8,41.2,44.2
1027,Clay,38.0925254,5.148329624,141.8932529,757.0,Alabama,2019,14198.0,101.0,47036.0,87.1,DEEP SOUTH,1694.0,3813.0,3128.0,1334.0,16.99267729962885,38.24857056876317,31.37726953556024,13.38148259604775,44.5,43.4,45.5
1029,Cleburne,15.08419692,6.81141761,131.938119,531.0,Alabama,2019,15346.0,268.0,49769.0,92.2,DEEP SOUTH,1789.0,3958.0,3082.0,1730.0,16.94289231934842,37.48461028506487,29.18837011080595,16.38412728478076,42.1,41.0,43.4
1031,Coffee,69.72633103,15.45252014,42.24137996,2393.75,Alabama,2019,54805.0,656.0,55052.0,102.0,DEEP SOUTH,4934.0,10108.0,12919.0,8202.0,13.64377955368747,27.95122086110113,35.72435915161905,22.68064043359234,39.2,37.9,40.4
1033,Colbert,76.11254042,29.75924552,45.16775759,2787.0,Alabama,2019,58033.0,618.0,53341.0,98.8,GREATER APPALACHIA,5333.0,15244.0,12600.0,7213.0,13.20376330774944,37.74201535033424,31.19584055459272,17.85838078732359,42.3,40.6,43.9
1035,Conecuh,71.91314461,9.005233914,122.914617,390.5,Alabama,2019,11206.0,-4.0,35621.0,66.0,DEEP SOUTH,1077.0,4200.0,2309.0,1079.0,12.42931332948644,48.47085978072706,26.64743219849971,12.45239469128679,46.1,44.7,47.2
1037,Coosa,61.1117619,7.672358979,131.2682582,235.25,Alabama,2019,10166.0,-111.0,45954.0,85.1,DEEP SOUTH,1217.0,3410.0,2623.0,915.0,14.90508266993264,41.76362523,32.12492345376607,11.20636864666258,50.1,49.5,50.5
