NAME,B01001_001E,B01001_001EA,B01001_001M,B01001_001MA,B01001_002E,B01001_002EA,B01001_002M,B01001_002MA,B01001_003E,B01001_003EA,B01001_003M,B01001_003MA,B01001_004E,B01001_004EA,B01001_004M,B01001_004MA,B01001_005E,B01001_005EA,B01001_005M,B01001_005MA,B01001_006E,B01001_006EA,B01001_006M,B01001_006MA,B01001_007E,B01001_007EA,B01001_007M,B01001_007MA,B01001_008E,B01001_008EA,B01001_008M,B01001_008MA,B01001_009E,B01001_009EA,B01001_009M,B01001_009MA,B01001_010E,B01001_010EA,B01001_010M,B01001_010MA,B01001_011E,B01001_011EA,B01001_011M,B01001_011MA,B01001_012E,B01001_012EA,B01001_012M,B01001_012MA,B01001_013E,B01001_013EA,B01001_013M,B01001_013MA,B01001_014E,B01001_014EA,B01001_014M,B01001_014MA,B01001_015E,B01001_015EA,B01001_015M,B01001_015MA,B01001_016E,B01001_016EA,B01001_016M,B01001_016MA,B01001_017E,B01001_017EA,B01001_017M,B01001_017MA,B01001_018E,B01001_018EA,B01001_018M,B01001_018MA,B01001_019E,B01001_019EA,B01001_019M,B01001_019MA,B01001_020E,B01001_020EA,B01001_020M,B01001_020MA,B01001_021E,B01001_021EA,B01001_021M,B01001_021MA,B01001_022E,B01001_022EA,B01001_022M,B01001_022MA,B01001_023E,B01001_023EA,B01001_023M,B01001_023MA,B01001_024E,B01001_024EA,B01001_024M,B01001_024MA,B01001_025E,B01001_025EA,B01001_025M,B01001_025MA,B01001_026E,B01001_026EA,B01001_026M,B01001_026MA,B01001_027E,B01001_027EA,B01001_027M,B01001_027MA,B01001_028E,B01001_028EA,B01001_028M,B01001_028MA,B01001_029E,B01001_029EA,B01001_029M,B01001_029MA,B01001_030E,B01001_030EA,B01001_030M,B01001_030MA,B01001_031E,B01001_031EA,B01001_031M,B01001_031MA,B01001_032E,B01001_032EA,B01001_032M,B01001_032MA,B01001_033E,B01001_033EA,B01001_033M,B01001_033MA,B01001_034E,B01001_034EA,B01001_034M,B01001_034MA,B01001_035E,B01001_035EA,B01001_035M,B01001_035MA,B01001_036E,B01001_036EA,B01001_036M,B01001_036MA,B01001_037E,B01001_037EA,B01001_037M,B01001_037MA,B01001_038E,B01001_038EA,B01001_038M,B01001_038MA,B01001_039E,B01001_039EA,B01001_039M,B01001_039MA,B01001_040E,B01001_040EA,B01001_040M,B01001_040MA,B01001_041E,B01001_041EA,B01001_041M,B01001_041MA,B01001_042E,B01001_042EA,B01001_042M,B01001_042MA,B01001_043E,B01001_043EA,B01001_043M,B01001_043MA,B01001_044E,B01001_044EA,B01001_044M,B01001_044MA,B01001_045E,B01001_045EA,B01001_045M,B01001_045MA,B01001_046E,B01001_046EA,B01001_046M,B01001_046MA,B01001_047E,B01001_047EA,B01001_047M,B01001_047MA,B01001_048E,B01001_048EA,B01001_048M,B01001_048MA,B01001_049E,B01001_049EA,B01001_049M,B01001_049MA,GEO_ID,NAME,state,county,tract,block group
Block Group 4; Census Tract 3373; Contra Costa County; California,1010,,442,,468,,235,,0,,13,,39,,65,,12,,22,,46,,67,,56,,81,,0,,13,,0,,13,,0,,13,,0,,13,,13,,23,,53,,68,,0,,13,,113,,79,,11,,18,,0,,13,,13,,20,,11,,20,,0,,13,,50,,41,,28,,31,,23,,39,,0,,13,,0,,13,,542,,329,,42,,65,,38,,60,,0,,13,,0,,13,,0,,13,,47,,63,,0,,13,,0,,13,,11,,20,,10,,20,,41,,64,,15,,24,,161,,102,,15,,25,,0,,13,,0,,13,,7,,12,,17,,23,,28,,29,,59,,59,,14,,24,,37,,50,,0,,13,,1500000US060133373004,Block Group 4; Census Tract 3373; Contra Costa County; California,06,013,337300,4
Block Group 2; Census Tract 3332; Contra Costa County; California,757,,283,,451,,201,,45,,46,,17,,30,,0,,13,,49,,50,,27,,46,,0,,13,,0,,13,,0,,13,,0,,13,,73,,57,,14,,24,,31,,41,,0,,13,,29,,35,,29,,34,,16,,26,,33,,42,,17,,28,,7,,11,,12,,21,,0,,13,,52,,73,,0,,13,,306,,97,,0,,13,,29,,38,,16,,26,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,15,,27,,43,,51,,25,,33,,0,,13,,16,,25,,52,,48,,11,,20,,22,,36,,10,,16,,12,,18,,0,,13,,28,,31,,17,,27,,10,,13,,0,,13,,1500000US060133332002,Block Group 2; Census Tract 3332; Contra Costa County; California,06,013,333200,2
Block Group 5; Census Tract 3382.03; Contra Costa County; California,1668,,537,,887,,330,,112,,113,,0,,13,,75,,56,,47,,53,,0,,13,,0,,13,,0,,13,,0,,13,,68,,86,,146,,122,,40,,47,,128,,133,,17,,28,,0,,13,,72,,57,,0,,13,,50,,46,,25,,39,,53,,61,,15,,26,,39,,41,,0,,13,,0,,13,,781,,252,,73,,56,,46,,53,,0,,13,,7,,17,,0,,13,,0,,13,,0,,13,,0,,13,,41,,45,,131,,112,,68,,79,,89,,73,,0,,13,,65,,61,,24,,28,,46,,41,,64,,71,,15,,24,,15,,24,,22,,27,,75,,65,,0,,13,,0,,13,,1500000US060133382035,Block Group 5; Census Tract 3382.03; Contra Costa County; California,06,013,338203,5
Block Group 2; Census Tract 3390.01; Contra Costa County; California,1601,,407,,803,,246,,81,,67,,48,,50,,0,,13,,9,,16,,24,,39,,11,,19,,13,,21,,0,,13,,43,,33,,267,,147,,132,,76,,17,,19,,25,,30,,60,,45,,39,,40,,23,,37,,0,,13,,0,,13,,0,,13,,11,,16,,0,,13,,0,,13,,0,,13,,798,,198,,23,,25,,0,,13,,31,,40,,0,,13,,14,,22,,24,,43,,0,,13,,43,,35,,162,,87,,148,,92,,111,,66,,81,,82,,38,,38,,0,,13,,20,,23,,0,,13,,13,,22,,7,,13,,8,,15,,24,,27,,0,,13,,42,,43,,9,,13,,1500000US060133390012,Block Group 2; Census Tract 3390.01; Contra Costa County; California,06,013,339001,2
Block Group 3; Census Tract 3592.03; Contra Costa County; California,4196,,800,,1956,,379,,104,,72,,187,,122,,92,,74,,32,,43,,15,,25,,0,,13,,12,,22,,113,,93,,103,,103,,169,,101,,107,,87,,219,,86,,53,,58,,101,,73,,263,,238,,48,,54,,60,,67,,7,,15,,43,,41,,104,,73,,98,,91,,20,,34,,6,,33,,2240,,486,,71,,61,,191,,98,,284,,190,,33,,45,,103,,86,,19,,33,,16,,25,,15,,27,,45,,63,,204,,120,,173,,99,,196,,99,,60,,56,,85,,65,,293,,246,,66,,78,,62,,56,,17,,26,,163,,172,,98,,61,,9,,16,,37,,57,,0,,13,,1500000US060133592033,Block Group 3; Census Tract 3592.03; Contra Costa County; California,06,013,359203,3
Block Group 1; Census Tract 3362.01; Contra Costa County; California,1774,,321,,797,,200,,29,,32,,18,,21,,17,,20,,18,,21,,35,,46,,0,,13,,28,,31,,41,,35,,61,,51,,39,,30,,96,,66,,55,,52,,19,,32,,45,,33,,107,,88,,48,,46,,14,,16,,16,,18,,8,,13,,30,,31,,48,,47,,18,,28,,7,,10,,977,,253,,9,,14,,0,,13,,62,,66,,47,,45,,65,,55,,0,,13,,21,,32,,21,,31,,0,,13,,29,,24,,54,,44,,32,,30,,105,,68,,31,,29,,116,,82,,42,,39,,29,,27,,6,,10,,68,,62,,42,,30,,26,,21,,157,,210,,15,,16,,1500000US060133362011,Block Group 1; Census Tract 3362.01; Contra Costa County; California,06,013,336201,1
Block Group 3; Census Tract 3551.12; Contra Costa County; California,3011,,630,,1447,,417,,29,,34,,14,,22,,23,,27,,123,,84,,122,,129,,83,,121,,0,,13,,38,,38,,38,,42,,39,,47,,56,,48,,29,,47,,40,,37,,118,,63,,224,,105,,70,,50,,116,,96,,10,,16,,64,,48,,101,,56,,84,,58,,11,,18,,15,,25,,1564,,306,,55,,72,,6,,17,,100,,68,,119,,98,,0,,13,,0,,13,,0,,13,,0,,13,,78,,61,,41,,43,,63,,59,,62,,66,,45,,41,,121,,79,,278,,148,,77,,48,,34,,34,,59,,54,,60,,57,,212,,176,,58,,51,,67,,56,,29,,32,,1500000US060133551123,Block Group 3; Census Tract 3551.12; Contra Costa County; California,06,013,355112,3
Block Group 1; Census Tract 3601.01; Contra Costa County; California,735,,273,,386,,146,,21,,34,,36,,52,,13,,20,,0,,13,,0,,13,,0,,13,,0,,13,,28,,31,,14,,21,,15,,22,,32,,35,,51,,54,,21,,30,,0,,13,,34,,30,,15,,26,,10,,15,,0,,13,,19,,20,,10,,15,,13,,16,,54,,63,,0,,13,,349,,192,,0,,13,,2,,10,,52,,87,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,16,,27,,9,,14,,37,,34,,27,,32,,0,,13,,5,,9,,40,,35,,0,,13,,46,,45,,0,,13,,38,,46,,39,,27,,13,,17,,0,,13,,25,,30,,1500000US060133601011,Block Group 1; Census Tract 3601.01; Contra Costa County; California,06,013,360101,1
Block Group 4; Census Tract 3310; Contra Costa County; California,637,,228,,282,,113,,17,,30,,21,,33,,0,,13,,0,,13,,35,,52,,0,,13,,0,,13,,0,,13,,33,,41,,0,,13,,13,,22,,55,,50,,0,,13,,0,,13,,17,,28,,0,,13,,16,,26,,0,,13,,11,,17,,52,,40,,12,,21,,0,,13,,0,,13,,355,,146,,17,,31,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,37,,55,,0,,13,,33,,39,,0,,13,,20,,32,,0,,13,,26,,40,,32,,38,,49,,51,,15,,24,,14,,25,,32,,39,,0,,13,,23,,20,,43,,53,,14,,23,,0,,13,,1500000US060133310004,Block Group 4; Census Tract 3310; Contra Costa County; California,06,013,331000,4
Block Group 2; Census Tract 3371; Contra Costa County; California,1713,,463,,771,,183,,76,,89,,10,,16,,32,,36,,8,,14,,0,,13,,0,,13,,15,,23,,18,,28,,23,,30,,41,,36,,33,,38,,53,,54,,52,,81,,33,,24,,101,,64,,39,,33,,9,,17,,33,,34,,60,,49,,57,,33,,12,,19,,58,,39,,8,,13,,942,,306,,0,,13,,50,,62,,32,,36,,28,,31,,18,,22,,0,,13,,11,,16,,0,,13,,21,,28,,116,,68,,24,,27,,104,,126,,42,,48,,60,,52,,93,,40,,35,,42,,43,,37,,8,,14,,49,,66,,88,,45,,37,,38,,73,,97,,10,,15,,1500000US060133371002,Block Group 2; Census Tract 3371; Contra Costa County; California,06,013,337100,2
Block Group 3; Census Tract 3461.02; Contra Costa County; California,1134,,802,,543,,446,,0,,13,,0,,13,,23,,28,,15,,24,,0,,13,,0,,13,,0,,13,,50,,81,,157,,237,,0,,13,,0,,13,,0,,13,,53,,40,,26,,32,,15,,25,,105,,135,,56,,81,,0,,13,,0,,13,,0,,13,,43,,44,,0,,13,,0,,13,,591,,363,,0,,13,,0,,13,,81,,66,,22,,20,,23,,36,,11,,18,,0,,13,,123,,183,,0,,13,,0,,13,,8,,14,,0,,13,,28,,32,,30,,34,,195,,170,,0,,13,,0,,13,,0,,13,,17,,28,,0,,13,,42,,40,,11,,18,,0,,13,,1500000US060133461023,Block Group 3; Census Tract 3461.02; Contra Costa County; California,06,013,346102,3
